업종명,업소명,지역명,소재지도로명주소,소재지지번주소,위도,경도,할인정보,업소전화번호,데이터기준일자,혜택대상,증빙자료,혜택시작일,혜택종료일,이용제한,비고,출처URL,출처유형,검증상태,수집일자
음식점,공항두루치기,강서구,서울특별시 강서구양천로28(방화동),,37.5722167,126.8065625,서비스 이용료의 10% 할인,02-2666-2272,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2025-09-25,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,김가네 개화산역점,강서구,"서울특별시 강서구양천로28(방화동, (벽산에어트리움 C-8호)))",,37.5722167,126.8063625,서비스 이용료의 5% 할인,02-2664-2335,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2025-09-25,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,일품사천불짬뽕,강서구,"서울특별시 강서구양천로28(방화동, (벽산에어트리움))",,37.5722167,126.8067625,서비스 이용료의 10% 할인,02-2662-6639,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2025-09-08,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,전주콩나물 해장국&지지미 방화점,강서구,서울특별시 강서구양천로6길28(방화동),,37.5705336,126.8068242,서비스 이용료의 10% 할인,02-2665-8222,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2025-09-23,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,칼스토랑 방화점,강서구,"서울특별시 강서구양천로28(방화동, (b106)))",,37.5722167,126.8064625,서비스 이용료의 10% 할인,070-8657-3869,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2025-09-25,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,포아이니 개화산역점,강서구,"서울특별시 강서구양천로28(방화동, (본관동 104호))",,37.5722167,126.8066625,서비스 이용료의 10% 할인,02-2665-5599,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수, 모범예비군, 명문가증, 복무확인서",2025-09-23,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
카페,그로우빈스,강서구,"서울특별시 강서구양천로18길16(방화동, (1층 101호))",,37.5727689,126.812605,서비스 이용료의 10% 할인 **훈련을 마친 병사는 아메리카노 1잔 증정 (1인 1잔 한정),02-2661-0922,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2024-08-07,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
카페,밀알카페,강서구,"서울특별시 강서구강서로33길16(화곡동, (1층))",,37.5420041,126.8388133,모든 메뉴 한 잔 당 무조건 500원 할인,0507-1389-2518,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2024-08-16,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
미용,굿바이브바버샵,광진구,"서울특별시 광진구 용마산로21길 27, 1층",,,,군인·경찰·소방관 할인 제공(할인액 미공개),0507-1474-1258,2025-01-28,군인·경찰·소방관,군인증 또는 관련 신분 확인자료,,,혜택 변경 가능성이 있어 방문·예약 직전 업소 확인,2025년 할인 안내와 2026년 현재 네이버플레이스 주소·전화·영업정보를 교차확인,https://blog.naver.com/wedae1man/223740984350,네이버 이용 후기·현재 플레이스 영업정보,B-: 공개 후기+현재 영업 교차확인,2026-08-15
미용,굿보이즈 바버샵,광진구,"서울특별시 광진구 강변역로4길 56, 1층 7호 (구의동, 광진해모로리버뷰)",서울특별시 광진구 구의동 547-7,,,"군인·경찰·소방관 상시 5,000원 할인",0507-1315-9522,2025-03-15,군인·경찰·소방관,군인증 또는 관련 신분 확인자료,,,혜택 변경 가능성이 있어 방문·예약 직전 업소 확인,"업소 자체 글과 별도 이용 후기에서 동일한 5,000원 상시 할인 확인",https://blog.naver.com/pkang00/223797115956 | https://blog.naver.com/ymjh313/223771586135,업소 공식 네이버 블로그+최근 이용 후기,B: 업소 공식 채널+후기 교차확인,2026-08-15
미용,쵸리,광진구,"서울특별시 광진구 뚝섬로51길 57, 1층",,,,"군인·경찰·소방관 상시 5,000원 할인(업소 게시 가격 28,000원)",0507-1498-8202,2026-03-09,군인·경찰·소방관,군인증 또는 관련 신분 확인자료,,,혜택 변경 가능성이 있어 방문·예약 직전 업소 확인,업소 공식 글의 할인 문구와 현재 네이버플레이스 주소·전화·영업정보를 교차확인,https://blog.naver.com/takeman84/224210331746,업소 공식 네이버 블로그,B: 업소 공식 채널(2026-03-09),2026-08-15
음식점,무한정수제돈까스,광진구,"서울특별시 광진구군자로102(군자동, (1층))",,37.5521971,127.0715539,서비스 이용료의 30% 할인,02-469-3122,2026-08-15,복무중인사람,복무확인서,2025-04-08,2027-04-08,없음,"2년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,탄토탄토,광진구,"서울특별시 광진구아차산로33길49(화양동, (2층))",,37.5425095,127.0707414,평일 점심에 한하여 서비스 이용료의 20% 할인,02-2039-2915,2026-08-15,복무중인사람,복무확인서,2025-02-27,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
카페,보드게임카페 레드버튼 건대점,광진구,서울특별시 광진구동일로22길81(화양동),,37.5415251,127.068812,서비스 이용료의 50% 할인 (평일만 사용가능),0507-1466-3804,2026-08-15,복무중인사람,복무확인서,2025-05-28,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
카페,9로평상,구로구,서울특별시 구로구 서해안로 2134 (항동),,,,"군인 특별가: 음료 5,000원(후기에서 군공무원증 제시 후 복숭아에이드 10,000원→5,000원 적용)",0507-1402-2382,2026-07-14,군인,군공무원증 등 군인 신분 확인자료,,,혜택 변경 가능성이 있어 방문·예약 직전 업소 확인,메뉴별 적용 여부는 업소 재확인 권장,https://blog.naver.com/27_12_25_wedding/224346593639,최근 실이용 네이버 영수증 후기,B-: 2026-07-14 실이용 후기,2026-08-15
음식점,국수집,동대문구,"서울특별시 동대문구한천로14길63(장안동, (1층))",,37.566711,127.06627,서비스 이용료의 10% 할인,02-2212-9410,2026-08-15,"동원훈련 이수자, 모범예비군","동원훈련이수증,모범예비군증",2025-04-10,2027-04-10,없음,"1년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,돈벼락김치삼겹살 장안동본점,동대문구,"서울특별시 동대문구장한로26길24(장안동, (1층))",,37.5714899,127.0729639,서비스 이용료의 10% 할인,0507-1374-9597,2026-08-15,"복무중인사람, 병역명문가","복무확인서,병역명문가증",2024-08-07,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
카페,서울쉬퐁,동대문구,"서울특별시 동대문구한천로63길17(이문동, (1층))",,37.6039396,127.0665311,서비스 이용료의 10% 할인,0507-1414-2539,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2025-04-11,2027-04-11,없음,"1년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,자연석 돌구이 생삼겹살 한우,동작구,"서울특별시 동작구여의대방로202(대방동, 1층)",,37.5047875,126.9225467,서비스이용료(식대) 5% 할인,0507-1382-8744,2026-08-15,"당해연도 동원훈련 이수자, 모범 예비군","동원훈련 이수증, 모범 예비군증",2023-11-20,2026-11-20,없음,"1년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,한제소곱창전골 신대방삼거리역점,동작구,"서울특별시 동작구여의대방로22길121- 0(신대방동, 상가동 1층 1444호, 1445호)",,37.498564,126.926095,서비스이용료의 5%할인(주류제외),0507-1359-9161,2026-08-15,"동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","동원훈련이수증, 모범예비군증, 복무확인서 등",2024-02-13,,없음,,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
카페,에이치플레이스,동작구,"서울특별시 동작구여의대방로36길10(대방동, (1층))",,37.5043025,126.9231009,서비스 이용료(음료) 20% 할인,0507-1307-6193,2026-08-15,"당해연도 동원훈련 이수자, 모범예비군, 복무중인 사람(현역병, 사회복무요원, 전문​∙산업기능요원)","동원훈련 이수증, 모범 예비군증, 복무 확인서",2023-11-10,2026-11-10,없음,3년 할인기간 후 재협의 필요,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
카페,카피바라 커피랩,동작구,"서울특별시 동작구대방동23길36(대방동, (1층))",,37.5041462,126.9233874,서비스 이용료의 20% 할인,0503-5260-9516,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2024-09-09,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
미용,허슬러즈바버샵 홍대,마포구,"서울특별시 마포구 와우산로 51-6, 지하 1층",,,,군인 특별가격 제공(할인액 미공개),0507-1322-3286,2026-07-04,군인,군인 신분 확인자료,,,혜택 변경 가능성이 있어 방문·예약 직전 업소 확인,현재 주소·전화와 군인 특별가격 안내 확인; 정확한 가격은 방문 전 문의,https://blog.naver.com/dpfls3230-/224336414756,최근 네이버 이용 후기·플레이스 안내,B-: 2026-07-04 최근 후기,2026-08-15
카페,연과점 하루,마포구,"서울특별시 마포구동교로16길12(서교동, (1층))",,37.5542805,126.9153613,서비스 이용료의 5% 할인,0507-1402-7706,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2024-12-21,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
미용,크레올 바버샵,서대문구,서울특별시 서대문구 연희로15길 35 (연희동),,,,군인·경찰·소방관 할인 제공(할인액 미공개),070-8657-0265,2026-08-09,군인·경찰·소방관,군인증 또는 관련 신분 확인자료,,,혜택 변경 가능성이 있어 방문·예약 직전 업소 확인,업소 비즈프로필의 최신 군·경·소방 할인 게시물과 주소·전화·활동 상태 확인,https://www.daangn.com/kr/business-post/%EA%B5%B0-%EA%B2%BD-%EC%86%8C%EB%B0%A9-%ED%95%A0%EC%9D%B8%ED%95%98%EA%B3%A0-%EC%9E%88%EC%8A%B5%EB%8B%88%EB%8B%A4-ze2fgwxxivji/,업소 공식 당근 비즈프로필 게시물,B: 업소 공식 채널(2026-08-09),2026-08-15
미용,예가미용실,서초구,"서울특별시 서초구남부순환로356길55(양재동, (1층))",,37.4825416,127.0385798,서비스 이용료의 20% 할인 **단골고객(3년이상이용)은 입대 및 전역시 각 1회(총2회) 면제,0507-1372-4844,2026-08-15,복무중인사람,복무확인서,2024-09-04,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,옐로치킨07&바로돈까스,성북구,"서울특별시 성북구아리랑로19길48(정릉동, (1츧))",,37.6025432,127.0107407,서비스 이용료의 20% 할인,02-913-2360,2026-08-15,복무중인사람,복무확인서,2025-04-08,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
미용,더벙커 맨즈헤어 바버샵 목동본점,양천구,"서울특별시 양천구 오목로 337-10, 2층 205호",,,,"군인·경찰·소방관 할인 커트 36,000원→29,000원",0507-1381-0661,2025-10-12,군인·경찰·소방관,군인증 또는 관련 신분 확인자료,,,혜택 변경 가능성이 있어 방문·예약 직전 업소 확인,주소·전화·일반가와 할인 메뉴를 함께 확인; 적용 조건은 방문 전 문의,https://blog.naver.com/b_0201/224038059722,최근 네이버 이용 후기·플레이스 메뉴,B-: 2025-10-12 구체적 후기,2026-08-15
음식점,GTS버거 문래점,영등포구,서울특별시 영등포구문래로151(문래동3가),,37.5188006,126.8987894,"서비스 이용료의 10% 할인 *최소주문금액 : 12,000원 **다른 할인과 중복 적용 불가",070-7776-4216,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2024-12-12,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,다함압구정김밥,영등포구,서울특별시 영등포구여의대방로197(신길동),,37.5046367,126.9218606,서비스 이용료의 10% 할인,02-831-7185,2026-08-15,"당해연도 동원훈련 이수자, 모범 예비군, 복무중인 사람(현역병, 사회복무요원, 전문​∙산업기능요원)","동원훈련 이수증, 모범 예비군증, 복무 확인서",2023-11-10,2026-11-10,없음,"1년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,문경밥상,영등포구,서울특별시 영등포구여의대방로47라길31(신길동),,37.5065074,126.921855,서비스(식대)10% 할인,02-842-9436,2026-08-15,"당해연도 동원훈련 이수자, 모범 예비군",동원훈련 이수증 및 모범 예비군증,2023-11-13,2026-11-13,없음,"1년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,미각식당,영등포구,"서울특별시 영등포구가마산로89길3(신길동, 1층)",,37.5047875,126.9214233,서비스 이용료의 10% 할인,02-822-5822,2026-08-15,"당해연도 동원훈련 이수자, 모범 예비군","동원훈련 이수증, 모범 예비군증",2023-11-10,2026-11-10,없음,"1년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
카페,마우나커피,영등포구,"서울특별시 영등포구여의대방로43길11- 5(신길동, (1층))",,37.505796,126.9214464,서비스 이용료의 10% 할인,02-2135-8839,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2024-08-19,,없음,우대기간 : 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
카페,브레드05,영등포구,서울특별시 영등포구여의대방로43나길4(신길동),,37.5066273,126.9216316,제품 5만원 이상 구입시 사은품 제공,02-783-0043,2026-08-15,"당해연도 동원훈련 이수자, 모범 예비군","동원훈련 이수증, 모범 예비군증",2023-09-27,,제한없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
카페,요거프레소 대방점,영등포구,서울특별시 영등포구가마산로587(신길동),,37.5044676,126.921579,서비스 이용료의 5% 할인,02-832-8137,2026-08-15,"당해연도 동원훈련 이수자, 모범예비군, 복무중인사람(현역병, 사회복무요원, 전문​∙산업기능요원)","동원훈련 이수증, 모범 예비군증, 복무 확인서",2023-10-10,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
카페,카페보니또 영등포1호점,영등포구,서울특별시 영등포구여의대방로203(신길동),,37.5053854,126.9220173,서비스 이용료 20% 할인,02-833-3773,2026-08-15,"당해연도 동원훈련 이수자, 모범예비군","동원훈련 이수증, 모범 예비군증",2023-09-26,2026-09-26,제한없음,3년 할인기간 후 재협의 필요,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
카페,해군호텔 블랙앤브라운,영등포구,"서울특별시 영등포구가마산로538(신길동, 해군호텔 1층)",,37.5029131,126.9154817,서비스 이용료의 5% 할인,02-831-4700,2026-08-15,"당해연도 동원훈련 이수자, 모범예비군","동원훈련 이수증, 모범 예비군증",2023-11-01,2026-11-01,없음,"2년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
숙박,나인트리 프리미어 로카우스 호텔 서울 용산,용산구,서울특별시 용산구 한강대로23길 25,,,,군인 할인 제공(할인율·예약 경로·대상 범위는 날짜별로 달라질 수 있어 호텔 문의),,2026-07-01,군인,군인 신분 확인자료(예약 전 문의),,,혜택 변경 가능성이 있어 방문·예약 직전 업소 확인,공식 홈페이지에서 할인율은 공개 확인되지 않아 요금·조건 공란 처리,https://www.tripadvisor.co.kr/Hotel_Review-g294197-d25296583-Reviews-Nine_Tree_Premier_ROKAUS_Hotel_Seoul_Yongsan-Seoul.html,최근 실투숙자 공개 후기,B-: 2026-07 실투숙 후기,2026-08-15
음식점,아노브 이태원,용산구,"서울특별시 용산구이태원로20가길7- 5(이태원동, (1층))",,37.5337213,126.9924236,서비스 이용료의 10% 할인,02-6052-6606,2026-08-15,"복무중인사람, 병역명문가","복무확인서, 병역명문가증",2025-06-05,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,피그가든,용산구,서울특별시 용산구한강대로270(남영동),,37.5423973,126.9730344,서비스 이용료의 10% 할인,02-6941-1244,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2025-02-26,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
미용,가위소리,은평구,"서울특별시 은평구진관3로21(진관동, (엘크루상가 126호))",,37.6394555,126.9191948,서비스 이용료의 20% 할인,02-352-9811,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2024-08-16,2026-08-16,없음,"1년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
미용,디얼스 이마트은평점,은평구,"서울특별시 은평구은평로111(응암동, (이마트 8층 디얼스 미용실))",,37.6008422,126.9205287,"서비스 이용료의 30% 할인 *부분시술포함 할인적용, 2명이상 동시 시술시 10% 추가할인",0507-1397-1096,2026-08-15,복무중인사람,복무확인서,2024-09-11,2026-09-11,없음,"1년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
미용,수헤어,은평구,"서울특별시 은평구가좌로12길15(신사동, (은평신사 두산위브 2차 상가))",,37.5988251,126.907551,서비스 이용료의 20% 할인,02-357-8254,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2024-09-09,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
