"정본CSV행번호","업소명","소재지도로명주소","기존전화번호","기존할인정보","공식업소명","공식주소","공식전화번호","공식메뉴","공식할인정보","상호주소일치","전화일치","판정","검토결정","정본반영여부"
"347","둘째마당바위","경기도 양주시 장흥면 권율로309번길 149","031-855-5213","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","신선식당","양주시 장흥면 권율로309번길 149","031-855-5213","오리구이,닭도리탕","닭, 오리요리 10% 할인","False","True","상호 변경 가능성","미검토","아니오"
"348","등촌샤브칼국수","경기도 양주시 송랑로 64, 1층","031-843-8777","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","등촌샤브칼국수","양주시 송랑로 64, 1층","031-843-8777","칼국수, 막국수","10% 할인(점심런치메뉴는 제외)","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"349","등촌칼국수","경기도 양주시 백석읍 고릉말로150번길 28 (1층)","031-879-6070","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","등촌칼국수","양주시 백석읍 고릉말로150번길 28 (1층)","031-879-6070","샤브샤브","10% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"350","만두와김밥마을","경기도 양주시 부흥로 2122","031-848-1796","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","만두와김밥마을","양주시 부흥로 2122","031-848-1796","분식","20% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"351","만수장","경기도 양주시 평화로 1552-1","031-858-8289","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","만수장","양주시 평화로 1552-1","031-858-8289","짜장,짬뽕,탕수육","10% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"352","본도시락 덕정점","경기도 양주시 독바위로 9","031-858-4282","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","본도시락 덕정점","양주시 독바위로 9","031-858-4282","도시락","10% 할인(포장만)","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"353","산하식당","경기도 양주시 백석읍 기산로 410","031-871-9369","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","산하식당","양주시 백석읍 기산로 410","031-871-9369","한우","10% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"354","삼호산장","경기도 양주시 백석읍 기산로 435","031-876-2351","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","삼호산장","양주시 백석읍 기산로 435","031-876-2351","한우전문","10% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"355","소문난쭈꾸미생삼겹","경기도 양주시 엄상동길 50-16","031-857-4473","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","소문난쭈꾸미생삼겹","양주시 엄상동길 50-16","031-857-4473","쭈꾸미","5% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"356","술들다","경기도 양주시 덕정4길 11","0507-1310-8451","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","술들다","양주시 덕정4길 11","0507-1310-8451","치킨,골뱅이, 똥집튀김, 감자튀김","1,000원 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"357","안다미로 샤브샤브","경기도 양주시 엄상동길 22-26","031-858-2233","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","안다미로 샤브샤브","양주시 엄상동길 22-26","031-858-2233","샤브샤브","5% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"358","야한소갈비살","경기도 양주시 엄상동길 30-3","031-859-8859","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","야한소갈비살(덕정점)","양주시 엄상동길 30-3","031-859-8859","소갈비","5% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"359","여울마당","경기도 양주시 장흥면 유원지로 318","031-855-2299","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","여울마당","양주시 장흥면 유원지로 318","031-855-2299","삼겹살, 닭, 오리 요리","10% 할인(사전예약필수)","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"360","이시돌선생의 약선도가","경기도 양주시 장흥면 권율로 88","031-855-8275","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","이시돌선생의 약선도가","양주시 장흥면 권율로 88","031-855-8275","한정식, 보양식","10% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"361","장어천국","경기도 양주시 어하고개로 1, (1층일부, 2층일부)","0507-1308-0592","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","장어천국","양주시 어하고개로 1, (1층일부, 2층일부)","031-844-0592","장어","5% 할인","True","False","상세정보 재확인 필요","미검토","아니오"
"362","장흥숯불갈비","경기도 양주시 화합로1361번길 32","031-864-0310","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","장흥숯불갈비","양주시 화합로1361번길 32","031-864-0310","한식","10% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"363","정주산장","경기도 양주시 장흥면 호국로550번길 102-127","031-826-4636","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","정주산장","양주시 장흥면 호국로550번길 102-127","031-826-4636","우렁,제육쌈밥, 코다리찜 등 전메뉴","10% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"364","쪽삼","경기도 양주시 어하고개로 56, 1층","031-856-8292","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","쪽삼","양주시 어하고개로 56, 1층","031-856-8292","삼겹살, 쪽갈비, 이베리코","5% 할인(단품메뉴)","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"365","초가마을","경기도 양주시 장흥면 권율로309번길 159","031-855-1124","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","초가마을","양주시 장흥면 권율로309번길 159","031-855-1124","닭, 오리고기 전문","10% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"366","최가네양구펀치볼시래기","경기도 양주시 백석읍 호명로 51","031-855-6002","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","","","","","","False","False","공식목록 미발견","미검토","아니오"
"367","페트라숯불구이","경기도 양주시 장흥면 일영로 601-100","031-855-0325","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","페트라숯불구이","양주시 장흥면 일영로 601-100","031-855-0325","오리훈제","5% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"368","행복한사람들","경기도 양주시 백석읍 권율로 852","031-871-8875","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","행복한사람들","양주시 백석읍 권율로 852","031-871-8875","돈까스 등 경양식","20% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
