"정본행번호","업소명","입력주소","기존위도","기존경도","최초POI조회어","POI조회어","POI조회방식","POI후보수","POI상호","POI도로명주소","POI지번주소","POI상호일치","POI주소일치","APIHUB좌표후보수","제안위도","제안경도","좌표출처","좌표출처URL","권장좌표검증상태","판정","검토사유","확인일"
"12","마샹스헤어살롱","경기도 동두천시 중앙로134-20, 202호(지행동)","37.8930182","127.0538205","마샹스헤어살롱 경기도 동두천시 중앙로134-20, 202호(지행동)","마샹스헤어살롱 경기도 동두천시 중앙로134-20","도로명·건물번호 보조 검색","1","<b>마샹스헤어살롱</b>","경기도 동두천시 중앙로 134-20 2층 202호 마샹스헤어살롱","경기도 동두천시 지행동 694-5 2층 202호 마샹스헤어살롱","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"13","박미라 헤어스토리","경기도 동두천시 평화로2452-1(생연동)","37.9066868","127.0583546","박미라 헤어스토리 경기도 동두천시 평화로2452-1(생연동)","박미라 헤어스토리 경기도 동두천시 평화로2452-1(생연동)","전체 주소 검색","1","<b>박미라헤어스토리</b>","경기도 동두천시 평화로 2452-1","경기도 동두천시 생연동 480-27","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"14","보배헤어샵","경기도 동두천시 중앙로286번길 21-3(생연동)","37.9072394","127.0554639","보배헤어샵 경기도 동두천시 중앙로286번길 21-3(생연동)","보배헤어샵 경기도 동두천시 중앙로286번길 21-3(생연동)","전체 주소 검색","1","<b>보배헤어샵</b>","경기도 동두천시 중앙로286번길 21-3","경기도 동두천시 생연동 613-108","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"15","삐삐머리방","경기도 동두천시 평화로2530번길 35(보산동)","37.9137556","127.0597922","삐삐머리방 경기도 동두천시 평화로2530번길 35(보산동)","삐삐머리방 경기도 동두천시 평화로2530번길 35(보산동)","전체 주소 검색","1","<b>삐삐머리방</b>","경기도 동두천시 평화로2530번길 35","경기도 동두천시 보산동 407-4","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"16","신지미헤어라인","경기도 동두천시 광암로33번길 13-10(광암동)","37.8960534","127.0851728","신지미헤어라인 경기도 동두천시 광암로33번길 13-10(광암동)","신지미헤어라인 경기도 동두천시 광암로33번길 13-10(광암동)","전체 주소 검색","1","<b>신지미헤어라인</b>","경기도 동두천시 광암로33번길 13-10","경기도 동두천시 광암동 494-61","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"17","요리하는경더기","경기도 동두천시 중앙로134-20, 3층(지행동)","37.8930182","127.0538205","요리하는경더기 경기도 동두천시 중앙로134-20, 3층(지행동)","요리하는경더기 경기도 동두천시 중앙로134-20","도로명·건물번호 보조 검색","1","<b>요리하는경더기</b>","경기도 동두천시 중앙로 134-20 3층 302호","경기도 동두천시 지행동 694-5 3층 302호","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"18","으뜸코다리냉면","경기도 동두천시 생연로170-2, 1층(생연동)","37.9076616","127.0526978","으뜸코다리냉면 경기도 동두천시 생연로170-2, 1층(생연동)","으뜸코다리냉면 경기도 동두천시 생연로170-2","도로명·건물번호 보조 검색","1","<b>으뜸코다리냉면</b>","경기도 동두천시 생연로 170-2 (생연동,1층)","경기도 동두천시 생연동 586-38 1층","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"19","장단콩터","경기도 동두천시 생연로119-1, 1층(생연동)","37.9033102","127.0509794","장단콩터 경기도 동두천시 생연로119-1, 1층(생연동)","장단콩터 경기도 동두천시 생연로119-1","도로명·건물번호 보조 검색","1","<b>장단콩터</b>","경기도 동두천시 생연로 119-1 1층","경기도 동두천시 생연동 820-7 1층","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"20","차희에스 머리사랑","경기도 동두천시 행선로98(생연동)","37.8968706","127.0626416","차희에스 머리사랑 경기도 동두천시 행선로98(생연동)","차희에스 머리사랑 경기도 동두천시 행선로98(생연동)","전체 주소 검색","1","<b>차희에스머리사랑</b>","경기도 동두천시 행선로 98","경기도 동두천시 생연동 342-4","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"21","처가집(부대찌개)","경기도 동두천시 어수로91-3(생연동)","37.9027419","127.0527489","처가집(부대찌개) 경기도 동두천시 어수로91-3(생연동)","처가집(부대찌개) 경기도 동두천시 어수로91-3(생연동)","전체 주소 검색","1","<b>처가집</b> <b>부대찌개</b>","경기도 동두천시 어수로 91-3","경기도 동두천시 생연동 690-25","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"22","통큰부대찌개","경기도 동두천시 생연로39-60(지행동)","37.8964189","127.0479792","통큰부대찌개 경기도 동두천시 생연로39-60(지행동)","통큰부대찌개 경기도 동두천시 생연로39-60(지행동)","전체 주소 검색","1","<b>통큰부대찌개</b>","경기도 동두천시 생연로 39-60","경기도 동두천시 지행동 669-9","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"23","특허받은 마늘콩짜장","경기도 동두천시 평화로 2351(생연동)","37.8977819","127.05757","특허받은 마늘콩짜장 경기도 동두천시 평화로 2351(생연동)","특허받은 마늘콩짜장 경기도 동두천시 평화로 2351(생연동)","전체 주소 검색","1","<b>특허받은마늘콩짜장</b>","경기도 동두천시 평화로 2351 특허받은마늘콩짜장","경기도 동두천시 생연동 743-9 특허받은마늘콩짜장","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"24","헤어바이 미정","경기도 동두천시 중앙로265번길 8(생연동)","37.9053073","127.0534308","헤어바이 미정 경기도 동두천시 중앙로265번길 8(생연동)","헤어바이 미정 경기도 동두천시 중앙로265번길 8(생연동)","전체 주소 검색","1","<b>헤어바이미정</b>","경기도 동두천시 중앙로265번길 8 헤어바이미정","경기도 동두천시 생연동 592-3 헤어바이미정","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"25","황주생고기","경기도 동두천시 생연로142(생연동)","37.9050798","127.0519517","황주생고기 경기도 동두천시 생연로142(생연동)","황주생고기 경기도 동두천시 생연로142(생연동)","전체 주소 검색","1","<b>황주생고기</b>","경기도 동두천시 생연로 142","경기도 동두천시 생연동 823-19","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"26","고봉막국수","경기도 양주시 장흥면 권율로 88, 상가동 1층","37.7227921","126.9477588","고봉막국수 경기도 양주시 장흥면 권율로 88, 상가동 1층","고봉막국수 경기도 양주시 장흥면 권율로 88","도로명·건물번호 보조 검색","1","<b>고봉막국수</b>","경기도 양주시 장흥면 권율로 88 105동 107호","경기도 양주시 장흥면 일영리 41-4 105동 107호","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"27","김밥나라","경기도 양주시 평화로 1426","37.8181225","127.0462927","김밥나라 경기도 양주시 평화로 1426","김밥나라 경기도 양주시 평화로 1426","전체 주소 검색","1","<b>김밥나라</b>","경기도 양주시 평화로 1426 영토빌딩1층 김밥나라","경기도 양주시 덕계동 420-9 영토빌딩1층 김밥나라","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"28","덕정갈비","경기도 양주시 덕정길 58","37.843655","127.0655121","덕정갈비 경기도 양주시 덕정길 58","덕정갈비 경기도 양주시 덕정길 58","전체 주소 검색","1","<b>덕정갈비</b>","경기도 양주시 덕정길 58 덕정갈비","경기도 양주시 덕정동 136-6 덕정갈비","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"29","술들다","경기도 양주시 덕정4길 11","37.8435889","127.0636388","술들다 경기도 양주시 덕정4길 11","술들다 경기도 양주시 덕정4길 11","전체 주소 검색","1","<b>술들다</b>","경기도 양주시 덕정4길 11 1층","경기도 양주시 덕정동 133-37 1층","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"30","안다미로 샤브샤브","경기도 양주시 엄상동길 22-26","37.830281","127.0672537","안다미로 샤브샤브 경기도 양주시 엄상동길 22-26","안다미로 샤브샤브 경기도 양주시 엄상동길 22-26","전체 주소 검색","1","<b>안다미로 샤브샤브</b>","경기도 양주시 엄상동길 22-26 1층","경기도 양주시 고암동 156-6 1층","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"31","여울마당","경기도 양주시 장흥면 유원지로 318","37.7078644","126.9535471","여울마당 경기도 양주시 장흥면 유원지로 318","여울마당 경기도 양주시 장흥면 유원지로 318","전체 주소 검색","1","<b>여울마당</b>","경기도 양주시 장흥면 유원지로 318 여울마당","경기도 양주시 장흥면 삼상리 10-30 여울마당","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
