"정본CSV행번호","업소명","소재지도로명주소","혜택근거상태","혜택문구유형","출시할인정보","출시적용대상","출시이용조건","출시인증방법","출처유형","출처URL","최근확인일","결정근거"
"84","민바리매운탕","파주시 쌀뚜기길 44-42 (문발동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"85","여명양평해장국","파주시 지목로 65 (신촌동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"86","해울한정식","파주시 지목로 65 (신촌동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"87","아레볼","파주시 소라지로 309-12 (송촌동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"97","금헤어","파주시 금정4길 16 (금촌동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"98","이브 헤어샵","파주시 금정14길 35 (아동동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"99","이정호 모델헤어","파주시 중앙로 318-1 (금촌동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"100","헤어그린","파주시 새꽃로 208 (아동동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"101","성심모텔","파주시 아동로 4-3 (금촌동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1002","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"102","테마모텔","파주시 중앙로 272 (금촌동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1002","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"103","덕성원","파주시 명동길 43 (금촌동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"104","미몽 파주금촌점","파주시 동산8길 39 (금촌동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"105","바삭옛날통닭","파주시 새꽃로 25 (금촌동) 103호","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"106","소담촌","파주시 후곡로 19 (금촌동) 3층 전부","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"107","여명 양평해장국","파주시 번영로 36 (금촌동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"108","왔다삼겹살","파주시 원앙길 26 (금촌동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"110","중국성","파주시 아동로 13 (금촌동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"111","커피에반하다(금촌역점)","파주시 새꽃로 200 (금촌동) 1층","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"112","미술관속 족발집","파주시 한마음1길 43 (금촌동) 2층","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"113","소스와 꼬꼬","파주시 한마음1길 40 (금촌동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"114","할머니가래떡볶이(금촌점)","파주시 한마음1길 9 (금촌동) 광성프라자 105호","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"115","일품양평해장국 파주검산점","파주시 평화로 330 (검산동)","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"116","파주새말육심","파주시 정담길 41 (아동동) 1층","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"118","개성연출","경기도 동두천시 정장로 31-12, 1층","공식 최신 근거 확인","세부","커트 2,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"119","고미나 헤어모드","경기도 동두천시 동광로 75-1, 1층","공식 최신 근거 확인","세부","커트 2,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"120","김희정헤어샵","경기도 동두천시 지행로65, 2층(지행동)","공식 최신 근거 확인","세부","커트 10% 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"122","노블헤어","경기도 동두천시 거북마루로45, 상가동 202호(생연동)","공식 최신 근거 확인","세부","커트 20% 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"123","리안헤어 동두천지행역점","경기도 동두천시 지행로56, 205호(지행동)","공식 최신 근거 확인","세부","커트 5,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"124","마샹스헤어살롱","경기도 동두천시 중앙로134-20, 202호(지행동)","공식 최신 근거 확인","세부","커트 3,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"125","박미라 헤어스토리","경기도 동두천시 평화로2452-1(생연동)","공식 최신 근거 확인","세부","커트 2,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"126","보배헤어샵","경기도 동두천시 중앙로286번길 21-3(생연동)","공식 최신 근거 확인","세부","커트 1,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"127","삐삐머리방","경기도 동두천시 평화로2530번길 35(보산동)","공식 최신 근거 확인","세부","커트 2,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"130","신성순 헤어아트","경기도 동두천시 중앙로278, 2층(생연동)","공식 최신 근거 확인","세부","커트 3,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"131","신지미헤어라인","경기도 동두천시 광암로33번길 13-10(광암동)","공식 최신 근거 확인","세부","커트 1,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"132","안다미로","경기도 동두천시 지행로107번길 13(지행동)","공식 최신 근거 확인","세부","커트 4,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"133","에이치H헤어","경기도 동두천시 중앙로134-26, 1층 105호(지행동)","공식 최신 근거 확인","세부","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"134","이선희헤어샵","경기도 동두천시 삼육사로896, 1층(생연동)","공식 최신 근거 확인","세부","커트 20% 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"135","이지현미용실","경기도 동두천시 중앙로295번길 26(생연동)","공식 최신 근거 확인","세부","커트 2,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"136","인헤어","경기도 동두천시 삼육사로902, 2동 104호(생연동)","공식 최신 근거 확인","세부","커트 2,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"138","쟝스헤어","경기도 동두천시 평화로2915(상봉암동)","공식 최신 근거 확인","세부","커트 1,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"142","차희에스 머리사랑","경기도 동두천시 행선로98(생연동)","공식 최신 근거 확인","세부","커트 10,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"148","헤어바이 미정","경기도 동두천시 중앙로265번길 8(생연동)","공식 최신 근거 확인","세부","커트 2,000원 할인","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"151","그린파크모텔","경기도 동두천시 어수로91-10(생연동)","공식 최신 근거 확인","세부","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"152","제이(J)모텔","경기도 동두천시 동두천로247-13(생연동)","공식 최신 근거 확인","세부","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"154","거북이삼겹살","경기도 동두천시 생연로175, 1층(생연동)","공식 최신 근거 확인","세부","5%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
"155","고기싸롱","경기도 동두천시 평화로2313번길 7-26(지행동)","공식 최신 근거 확인","세부","5%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","동두천시 공식 군장병 할인업소 목록","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-09-06","동두천시 공식 목록에서 상호·주소·전화·개별 할인 일치"
