"정본CSV행번호","업소명","시도","시군구","소재지도로명주소","소재지지번주소","혜택검토보고서","혜택검토판정","좌표감사판정","좌표감사사유","권장좌표검증상태","최초POI조회어","POI조회어","POI조회방식","POI상호","POI도로명주소","POI지번주소","감사제안위도","감사제안경도","좌표출처URL","우선순위","검토작업","검토결정","정본반영여부","검토메모"
"120","김희정헤어샵","경기도","동두천시","경기도 동두천시 지행로65, 2층(지행동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","김희정헤어샵 경기도 동두천시 지행로65, 2층(지행동)","김희정헤어샵 경기도 동두천시 지행로65","도로명·건물번호 보조 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"159","넓은공간","경기도","동두천시","경기도 동두천시 평화로2910번길 82(상봉암동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","넓은공간 경기도 동두천시 평화로2910번길 82(상봉암동)","넓은공간 경기도 동두천시 평화로2910번길 82(상봉암동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"160","다복식당","경기도","동두천시","경기도 동두천시 생연로177(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","다복식당 경기도 동두천시 생연로177(생연동)","다복식당 경기도 동두천시 생연로177(생연동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"163","대호숯불갈비","경기도","동두천시","경기도 동두천시 중앙로265번길 19(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","대호숯불갈비 경기도 동두천시 중앙로265번길 19(생연동)","대호숯불갈비 경기도 동두천시 중앙로265번길 19(생연동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"164","동태한그릇","경기도","동두천시","경기도 동두천시 생연로155(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","동태한그릇 경기도 동두천시 생연로155(생연동)","동태한그릇 경기도 동두천시 생연로155(생연동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"187","롯데리아 동두천점","경기도","동두천시","경기도 동두천시 중앙로270(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","롯데리아 동두천점 경기도 동두천시 중앙로270(생연동)","롯데리아 동두천점 경기도 동두천시 중앙로270(생연동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"123","리안헤어 동두천지행역점","경기도","동두천시","경기도 동두천시 지행로56, 205호(지행동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","리안헤어 동두천지행역점 경기도 동두천시 지행로56, 205호(지행동)","리안헤어 동두천지행역점 경기도 동두천시 지행로56","도로명·건물번호 보조 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"124","마샹스헤어살롱","경기도","동두천시","경기도 동두천시 중앙로134-20, 202호(지행동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","마샹스헤어살롱 경기도 동두천시 중앙로134-20, 202호(지행동)","마샹스헤어살롱 경기도 동두천시 중앙로134-20","도로명·건물번호 보조 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"125","박미라 헤어스토리","경기도","동두천시","경기도 동두천시 평화로2452-1(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","박미라 헤어스토리 경기도 동두천시 평화로2452-1(생연동)","박미라 헤어스토리 경기도 동두천시 평화로2452-1(생연동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"126","보배헤어샵","경기도","동두천시","경기도 동두천시 중앙로286번길 21-3(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","보배헤어샵 경기도 동두천시 중앙로286번길 21-3(생연동)","보배헤어샵 경기도 동두천시 중앙로286번길 21-3(생연동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"127","삐삐머리방","경기도","동두천시","경기도 동두천시 평화로2530번길 35(보산동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","삐삐머리방 경기도 동두천시 평화로2530번길 35(보산동)","삐삐머리방 경기도 동두천시 평화로2530번길 35(보산동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"131","신지미헤어라인","경기도","동두천시","경기도 동두천시 광암로33번길 13-10(광암동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","신지미헤어라인 경기도 동두천시 광암로33번길 13-10(광암동)","신지미헤어라인 경기도 동두천시 광암로33번길 13-10(광암동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"170","요리하는경더기","경기도","동두천시","경기도 동두천시 중앙로134-20, 3층(지행동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","요리하는경더기 경기도 동두천시 중앙로134-20, 3층(지행동)","요리하는경더기 경기도 동두천시 중앙로134-20","도로명·건물번호 보조 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"174","으뜸코다리냉면","경기도","동두천시","경기도 동두천시 생연로170-2, 1층(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","으뜸코다리냉면 경기도 동두천시 생연로170-2, 1층(생연동)","으뜸코다리냉면 경기도 동두천시 생연로170-2","도로명·건물번호 보조 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"176","장단콩터","경기도","동두천시","경기도 동두천시 생연로119-1, 1층(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","장단콩터 경기도 동두천시 생연로119-1, 1층(생연동)","장단콩터 경기도 동두천시 생연로119-1","도로명·건물번호 보조 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"142","차희에스 머리사랑","경기도","동두천시","경기도 동두천시 행선로98(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","차희에스 머리사랑 경기도 동두천시 행선로98(생연동)","차희에스 머리사랑 경기도 동두천시 행선로98(생연동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"178","처가집(부대찌개)","경기도","동두천시","경기도 동두천시 어수로91-3(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","처가집(부대찌개) 경기도 동두천시 어수로91-3(생연동)","처가집(부대찌개) 경기도 동두천시 어수로91-3(생연동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"181","통큰부대찌개","경기도","동두천시","경기도 동두천시 생연로39-60(지행동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","통큰부대찌개 경기도 동두천시 생연로39-60(지행동)","통큰부대찌개 경기도 동두천시 생연로39-60(지행동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"182","특허받은 마늘콩짜장","경기도","동두천시","경기도 동두천시 평화로 2351(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","특허받은 마늘콩짜장 경기도 동두천시 평화로 2351(생연동)","특허받은 마늘콩짜장 경기도 동두천시 평화로 2351(생연동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"148","헤어바이 미정","경기도","동두천시","경기도 동두천시 중앙로265번길 8(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","헤어바이 미정 경기도 동두천시 중앙로265번길 8(생연동)","헤어바이 미정 경기도 동두천시 중앙로265번길 8(생연동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"186","황주생고기","경기도","동두천시","경기도 동두천시 생연로142(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","황주생고기 경기도 동두천시 생연로142(생연동)","황주생고기 경기도 동두천시 생연로142(생연동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"340","고봉막국수","경기도","양주시","경기도 양주시 장흥면 권율로 88, 상가동 1층","","yangju-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","고봉막국수 경기도 양주시 장흥면 권율로 88, 상가동 1층","고봉막국수 경기도 양주시 장흥면 권율로 88","도로명·건물번호 보조 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"342","김밥나라","경기도","양주시","경기도 양주시 평화로 1426","","yangju-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","김밥나라 경기도 양주시 평화로 1426","김밥나라 경기도 양주시 평화로 1426","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"345","덕정갈비","경기도","양주시","경기도 양주시 덕정길 58","","yangju-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","덕정갈비 경기도 양주시 덕정길 58","덕정갈비 경기도 양주시 덕정길 58","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"356","술들다","경기도","양주시","경기도 양주시 덕정4길 11","","yangju-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","술들다 경기도 양주시 덕정4길 11","술들다 경기도 양주시 덕정4길 11","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"357","안다미로 샤브샤브","경기도","양주시","경기도 양주시 엄상동길 22-26","","yangju-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","안다미로 샤브샤브 경기도 양주시 엄상동길 22-26","안다미로 샤브샤브 경기도 양주시 엄상동길 22-26","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"359","여울마당","경기도","양주시","경기도 양주시 장흥면 유원지로 318","","yangju-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","여울마당 경기도 양주시 장흥면 유원지로 318","여울마당 경기도 양주시 장흥면 유원지로 318","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"442","6000컷트","경기도","파주시","파주시 파주읍 술이홀로 470","경기도 파주시 파주읍 연풍리 294-9","paju-benefit-comparison-20260906.csv","공식 참여업소 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","6000컷트 파주시 파주읍 술이홀로 470","6000컷트 파주시 파주읍 술이홀로 470","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"74","게이트호텔","경기도","파주시","파주시 광탄면 보광로 505","경기도 파주시 광탄면 영장리 42-4","paju-benefit-comparison-20260906.csv","공식 참여업소 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","게이트호텔 파주시 광탄면 보광로 505","게이트호텔 파주시 광탄면 보광로 505","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"394","그때그집","경기도","파주시","파주시 적성면 솥뒤로 15","경기도 파주시 적성면 마지리 45-5","paju-benefit-comparison-20260906.csv","공식 참여업소 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","그때그집 파주시 적성면 솥뒤로 15","그때그집 파주시 적성면 솥뒤로 15","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"240","김밥나라","경기도","파주시","파주시 법원읍 사임당로 839","경기도 파주시 법원읍 대능리 87-19","paju-benefit-comparison-20260906.csv","공식 참여업소 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","김밥나라 파주시 법원읍 사임당로 839","김밥나라 파주시 법원읍 사임당로 839","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"444","남해바다","경기도","파주시","파주시 파주읍 시장거리길 59-7","경기도 파주시 파주읍 파주리 453-25","paju-benefit-comparison-20260906.csv","공식 참여업소 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","남해바다 파주시 파주읍 시장거리길 59-7","남해바다 파주시 파주읍 시장거리길 59-7","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"204","누구나홀딱반한닭 문산당동점","경기도","파주시","파주시 문산읍 당동2로 11-5","경기도 파주시 문산읍 당동리 889-2","paju-benefit-comparison-20260906.csv","공식 참여업소 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","누구나홀딱반한닭 문산당동점 파주시 문산읍 당동2로 11-5","누구나홀딱반한닭 문산당동점 파주시 문산읍 당동2로 11-5","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"103","덕성원","경기도","파주시","파주시 명동길 43 (금촌동)","경기도 파주시 금촌동 323-10","paju-benefit-comparison-20260906.csv","공식 참여업소 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","덕성원 파주시 명동길 43 (금촌동)","덕성원 파주시 명동길 43 (금촌동)","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"396","두지리강촌매운탕","경기도","파주시","파주시 적성면 술이홀로2316번길 31","경기도 파주시 적성면 두지리 88-5","paju-benefit-comparison-20260906.csv","공식 참여업소 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","두지리강촌매운탕 파주시 적성면 술이홀로2316번길 31","두지리강촌매운탕 파주시 적성면 술이홀로2316번길 31","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"76","레드브릿지","경기도","파주시","파주시 광탄면 기산로 329","경기도 파주시 광탄면 기산리 449-1","paju-benefit-comparison-20260906.csv","공식 참여업소 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","레드브릿지 파주시 광탄면 기산로 329","레드브릿지 파주시 광탄면 기산로 329","전체 주소 검색","","","","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
