"정본CSV행번호","업소명","소재지도로명주소","기존전화번호","기존할인정보","공식업소명","공식주소","공식전화번호","공식출처URL","상호주소일치","전화일치","혜택상세검증","판정","검토결정","정본반영여부"
"100","헤어그린","파주시 새꽃로 208 (아동동)","031-943-6825","10%할인","헤어그린","파주시 새꽃로 208 (아동동)","031-943-6825","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"101","성심모텔","파주시 아동로 4-3 (금촌동)","031-949-8644","10%할인","성심모텔","파주시 아동로 4-3 (금촌동)","031-949-8644","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1002","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"102","테마모텔","파주시 중앙로 272 (금촌동)","031-944-5986","10%할인","테마모텔","파주시 중앙로 272 (금촌동)","031-944-5986","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1002","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"103","덕성원","파주시 명동길 43 (금촌동)","031-941-2226","음료수 제공 또는 5%할인","덕성원","파주시 명동길 43 (금촌동)","031-941-2226","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"104","미몽 파주금촌점","파주시 동산8길 39 (금촌동)","031-937-8212","10%할인","미몽 파주금촌점","파주시 동산8길 39 (금촌동)","031-937-8212","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"105","바삭옛날통닭","파주시 새꽃로 25 (금촌동) 103호","031-942-9949","10% 이상 할인 또는 그에 상응하는 서비스(업소별 상세는 사전 확인)","바삭옛날통닭","파주시 새꽃로 25 (금촌동) 103호","031-942-9949","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"106","소담촌","파주시 후곡로 19 (금촌동) 3층 전부","031-944-8698","음료수 제공","소담촌","파주시 후곡로 19 (금촌동) 3층 전부","031-944-8698","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"107","여명 양평해장국","파주시 번영로 36 (금촌동)","031-946-8001","10%할인","여명 양평해장국","파주시 번영로 36 (금촌동)","031-946-8001","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"108","왔다삼겹살","파주시 원앙길 26 (금촌동)","031-944-9254","음료수 제공","왔다삼겹살","파주시 원앙길 26 (금촌동)","031-944-9254","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"109","이승옥 냉 돈돼지","파주시 평화로 8 (금촌동)","","10%할인","이승옥 냉 돈돼지","파주시 평화로 8 (금촌동)","-","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","False","참여 목록은 일치하나 개별 할인 조건 미기재","상세정보 재확인 필요","미검토","아니오"
"110","중국성","파주시 아동로 13 (금촌동)","031-946-7983","1000원 할인","중국성","파주시 아동로 13 (금촌동)","031-946-7983","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"111","커피에반하다(금촌역점)","파주시 새꽃로 200 (금촌동) 1층","031-945-4145","마카롱 제공","커피에반하다(금촌역점)","파주시 새꽃로 200 (금촌동) 1층","031-945-4145","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"112","미술관속 족발집","파주시 한마음1길 43 (금촌동) 2층","031-949-2345","10%할인","미술관속 족발집","파주시 한마음1길 43 (금촌동) 2층","031-949-2345","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"113","소스와 꼬꼬","파주시 한마음1길 40 (금촌동)","031-948-5527","5%할인","소스와 꼬꼬","파주시 한마음1길 40 (금촌동)","031-948-5527","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"114","할머니가래떡볶이(금촌점)","파주시 한마음1길 9 (금촌동) 광성프라자 105호","031-944-9920","음료수 제공","할머니가래떡볶이(금촌점)","파주시 한마음1길 9 (금촌동) 광성프라자 105호","031-944-9920","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"115","일품양평해장국 파주검산점","파주시 평화로 330 (검산동)","031-944-4866","10%할인","일품양평해장국 파주검산점","파주시 평화로 330 (검산동)","031-944-4866","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"116","파주새말육심","파주시 정담길 41 (아동동) 1층","031-946-8895","10% 이상 할인 또는 그에 상응하는 서비스(업소별 상세는 사전 확인)","파주새말육심","파주시 정담길 41 (아동동) 1층","031-946-8895","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"192","나포리미용실","파주시 문산읍 문향로56번길 19","031-952-3868","20%할인","나포리미용실","파주시 문산읍 문향로56번길 19","031-952-3868","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"193","라헬헤어","파주시 문산읍 문향로75번길 19-12 1층 일부","070-4006-0357","15%할인","라헬헤어","파주시 문산읍 문향로75번길 19-12 1층 일부","070-4006-0357","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"194","박준 뷰티랩","파주시 문산읍 방촌로 1719","031-954-0454","10%할인","박준 뷰티랩","파주시 문산읍 방촌로 1719","031-954-0454","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"195","샴푸의요정","파주시 문산읍 문향로 60-1","031-953-6639","10%할인","샴푸의요정","파주시 문산읍 문향로 60-1","031-953-6639","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"196","씨케이미용실(CK 헤어)","파주시 문산읍 당동2로 11-5","070-4240-1112","20%할인","씨케이미용실(CK 헤어)","파주시 문산읍 당동2로 11-5","070-4240-1112","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"197","에이바헤어 문산당동점","파주시 문산읍 방촌로 1719-62","031-954-0503","10%할인","에이바헤어 문산당동점","파주시 문산읍 방촌로 1719-62","031-954-0503","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"198","헤어갤러리","파주시 문산읍 문산로26번길 2","031-954-3060","20%할인","헤어갤러리","파주시 문산읍 문산로26번길 2","031-954-3060","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"199","M 모텔","파주시 문산읍 문향로 87-1","031-953-3263","10%할인","M 모텔","파주시 문산읍 문향로 87-1","031-953-3263","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1002","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"200","로얄모텔","파주시 문산읍 문향로49번길 20","031-953-6667","20%할인","로얄모텔","파주시 문산읍 문향로49번길 20","031-953-6667","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1002","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"201","모텔청화","파주시 문산읍 문향로 69-15","031-952-2626","25%할인","모텔청화","파주시 문산읍 문향로 69-15","031-952-2626","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1002","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"202","59쌀피자","파주시 문산읍 문향로68번길 8 1층","031-952-5909","음료수500ml 제공+주문 시 사이즈 업","59쌀피자","파주시 문산읍 문향로68번길 8 1층","031-952-5909","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"203","갈비도둑","파주시 문산읍 문향로39번길 8","031-952-9296","고기주문시 음료+공기밥+주류 서비스","갈비도둑","파주시 문산읍 문향로39번길 8","031-952-9296","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"204","누구나홀딱반한닭 문산당동점","파주시 문산읍 당동2로 11-5","031-942-7617","5~10%할인","누구나홀딱반한닭 문산당동점","파주시 문산읍 당동2로 11-5","031-942-7617","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"205","두근두근","파주시 문산읍 당동2로 11-1","031-953-3396","10%할인","두근두근","파주시 문산읍 당동2로 11-1","031-953-3396","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"206","또봉이통닭(문산점)","파주시 문산읍 봉미로 19","031-948-5511","음료수 제공","또봉이통닭(문산점)","파주시 문산읍 봉미로 19","031-948-5511","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"207","말랭이비빔국수","파주시 문산읍 방촌로 1463","031-952-2898","음료수 제공","말랭이비빔국수","파주시 문산읍 방촌로 1463","031-952-2898","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"208","바른생고기정육점 소풍정육식당","파주시 문산읍 문향로 12 1~2층","031-953-2140","테이블당 5000원 할인+계란찜+찌개 제공","바른생고기정육점 소풍정육식당","파주시 문산읍 문향로 12 1~2층","031-953-2140","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"209","박여사미락감자탕","파주시 문산읍 봉미로 9","031-954-1210","음료수제공(또는 라면사리+공기밥 제공)","박여사미락감자탕","파주시 문산읍 봉미로 9","031-954-1210","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"210","밥꼬 문산점","파주시 문산읍 문향로67번길 15 1층","031-953-2088","소주 무제한","밥꼬 문산점","파주시 문산읍 문향로67번길 15 1층","031-953-2088","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"211","별하(BYULHA)","파주시 문산읍 방촌로 1744 (파주힐스테이트1차) 에이상가동 지하1층 104호","","5%할인","별하(BYULHA)","파주시 문산읍 방촌로 1744 (파주힐스테이트1차) 에이상가동 지하1층 104호","-","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","False","참여 목록은 일치하나 개별 할인 조건 미기재","상세정보 재확인 필요","미검토","아니오"
"212","북촌손만두 파주문산점","파주시 문산읍 우계로 424 1층 110호","031-953-5988","20000원 이상 2000원 할인+20000원 이하 1000원 할인","북촌손만두 파주문산점","파주시 문산읍 우계로 424 1층 110호","031-953-5988","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"213","삼겹살에 소주한잔","파주시 문산읍 문향로84번길 2 2층","031-953-0068","1인분당 1000원 할인","삼겹살에 소주한잔","파주시 문산읍 문향로84번길 2 2층","031-953-0068","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"214","삼산회관 파주문산점","파주시 문산읍 문향로 71","031-959-5609","10% 할인","삼산회관 파주문산점","파주시 문산읍 문향로 71","031-959-5609","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"215","상원각","파주시 문산읍 문향로 35","031-952-7303","5%할인","상원각","파주시 문산읍 문향로 35","031-952-7303","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"216","숯불에닭 문산점","파주시 문산읍 문산로40번길 41 상가 118호, 119호","031-953-3660","사이드 메뉴 서비스","숯불에닭 문산점","파주시 문산읍 문산로40번길 41 상가 118호, 119호","-","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","False","참여 목록은 일치하나 개별 할인 조건 미기재","상세정보 재확인 필요","미검토","아니오"
"217","쑝쑝돈까스 문산점","파주시 문산읍 문향로67번길 10 1층","031-953-0339","공기밥 제공","쑝쑝돈까스 문산점","파주시 문산읍 문향로67번길 10 1층","031-953-0339","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"218","아리비스트로","파주시 문산읍 당동1로 53-5","0507-1390-5354","10% 할인","아리비스트로","파주시 문산읍 당동1로 53-5","0507-1390-5354","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"219","아서원","파주시 문산읍 문향로49번길 20","031-952-6635","음료수+공기밥 제공","아서원","파주시 문산읍 문향로49번길 20","031-952-6635","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"220","육해공떠오르는집","파주시 문산읍 문향로84번길 7-1","031-954-9200","10% 할인","육해공떠오르는집","파주시 문산읍 문향로84번길 7-1","031-954-9200","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"221","임진강나루","파주시 문산읍 반구정로 53-51","031-954-9898","10%할인","임진강나루","파주시 문산읍 반구정로 53-51","031-954-9898","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"222","장단가든","파주시 문산읍 임진나루길 133-12","031-954-1559","5%할인","장단가든","파주시 문산읍 임진나루길 133-12","031-954-1559","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"223","장단콩전문점","파주시 문산읍 문향로 59 1층 일부","031-953-1953","10%할인","장단콩전문점","파주시 문산읍 문향로 59 1층 일부","031-953-1953","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"224","(주)반구정나루터집","파주시 문산읍 반구정로85번길 13","031-952-3472","10%할인","(주)반구정나루터집","파주시 문산읍 반구정로85번길 13","031-952-3472","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"225","천하곱창","파주시 문산읍 문향로 81","031-952-8188","10%할인","천하곱창","파주시 문산읍 문향로 81","031-952-8188","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"226","한성회관","파주시 문산읍 당동1로 44 1층","031-953-3392","3인 이상시 소주 3000원","한성회관","파주시 문산읍 당동1로 44 1층","031-953-3392","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"227","커피베이스","파주시 문산읍 독산로 48","031-954-0468","10%할인","커피베이스","파주시 문산읍 독산로 48","031-954-0468","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"228","한반도카페 플라츠(platz)907","파주시 문산읍 마정로 174 1층 일부","031-937-8218","커피류 10%할인","한반도카페 플라츠(platz)907","파주시 문산읍 마정로 174 1층 일부","031-937-8218","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"229","느낌헤어","파주시 법원읍 사임당로 851 1층","031-958-9972","10% 할인","느낌헤어","파주시 법원읍 사임당로 851 1층","031-958-9972","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"230","더벅머리","파주시 법원읍 사임당로 864 1층","","10% 할인","더벅머리","파주시 법원읍 사임당로 864 1층","-","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","False","참여 목록은 일치하나 개별 할인 조건 미기재","상세정보 재확인 필요","미검토","아니오"
"231","미미미용실","파주시 법원읍 술이홀로 869 1층","031-958-2393","10% 할인","미미미용실","파주시 법원읍 술이홀로 869 1층","031-958-2393","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"232","백합미용실","파주시 법원읍 사임당로 815 1층","031-959-3722","10% 할인","백합미용실","파주시 법원읍 사임당로 815 1층","031-959-3722","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"233","솔리드헤어","파주시 법원읍 사임당로 832-2 1층","031-958-8294","10% 할인","솔리드헤어","파주시 법원읍 사임당로 832-2 1층","031-958-8294","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"234","신디헤어","파주시 법원읍 사임당로 850-2 1층","031-959-1414","10% 할인","신디헤어","파주시 법원읍 사임당로 850-2 1층","031-959-1414","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"235","엣지머리방","파주시 법원읍 사임당로 836-1 1층","031-959-9137","10% 할인","엣지머리방","파주시 법원읍 사임당로 836-1 1층","031-959-9137","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
