"정본CSV행번호","업소명","소재지도로명주소","기존전화번호","기존할인정보","공식업소명","공식주소","공식전화번호","공식할인정보","상호주소일치","전화일치","할인일치","판정","검토결정","정본반영여부"
"161","다원","경기도 동두천시 어수로102번길 6(생연동)","031-862-0841","10%","다원","어수로 102번길 6(생연동)","031-862-0841","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"162","대왕미가","경기도 동두천시 삼육사로1009(생연동)","031-865-5346","5%","대왕미가","삼육사로 1009(생연동)","031-865-5346","5%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"163","대호숯불갈비","경기도 동두천시 중앙로265번길 19(생연동)","031-868-0092","10%","대호숯불갈비","중앙로 265번길 19(생연동)","031-868-0092","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"164","동태한그릇","경기도 동두천시 생연로155(생연동)","031-862-0066","10%","동태한그릇","생연로 155(생연동)","031-862-0066","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"165","소요산명품한우식당","경기도 동두천시 평화로2910번길 1(상봉암동)","031-866-8820","5% 및 음료 서비스","소요산명품 한우식당","평화로 2910번길 1(상봉암동)","031-866-8820","5%, 음료 서비스","True","True","False","상세정보 재확인 필요","미검토","아니오"
"166","슈퍼크리스피 동두천지행점","경기도 동두천시 중앙로132, 105호(지행동)","031-862-5509","10%","","","","","False","False","False","주소 재확인 필요","미검토","아니오"
"167","쌍둥이족발","경기도 동두천시 생연로122, 1층(생연동)","031-863-4593","10% (포장·방문)","쌍둥이족발","생연로 122, 1층(생연동)","031-863-4593","10% (포장, 방문 시)","True","True","False","상세정보 재확인 필요","미검토","아니오"
"168","압구정 화로구이","경기도 동두천시 지행로52, 108~110호(지행동)","0507-1482-9993","5%","","","","","False","False","False","주소 재확인 필요","미검토","아니오"
"169","어멍생고기","경기도 동두천시 동두천로119, 1층(지행동)","0507-1430-1253","음료·된장찌개 서비스","","","","","False","False","False","주소 재확인 필요","미검토","아니오"
"170","요리하는경더기","경기도 동두천시 중앙로134-20, 3층(지행동)","0507-1335-5030","10%","요리하는경더기","중앙로 134-20, 3층 (지행동)","0507-1335-5030","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"171","우막산순대국","경기도 동두천시 평화로2261번길 22(지행동)","031-928-5835","10%","우막산순대국","동두천시 평화로 2261번길 22 (지행동)","031-928-5835","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"172","유경장작구이","경기도 동두천시 평화로2910번길 10(상봉암동)","031-865-5292","5%","유경장작구이","평화로 2910번길 10 (상봉암동 외 1필지)","031-865-5292","5%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"173","육꼬집","경기도 동두천시 중앙로110-9, 106~108호(지행동)","031-866-1236","5%","","","","","False","False","False","주소 재확인 필요","미검토","아니오"
"174","으뜸코다리냉면","경기도 동두천시 생연로170-2, 1층(생연동)","031-868-0017","10%","으뜸코다리냉면","생연로 170-2, 1층(생연동)","031-868-0017","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"175","일미담","경기도 동두천시 동광로73, 1층(생연동)","031-866-4063","5%","일미담","동광로 73, 1층(생연동)","031-866-4063","5%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"176","장단콩터","경기도 동두천시 생연로119-1, 1층(생연동)","031-857-7756","10%","장단콩터","생연로 119-1, 1층(생연동)","031-857-7756","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"177","좋은날식당","경기도 동두천시 중앙로265번길 23(생연동)","031-862-2716","15%","좋은날식당","중앙로 265번길 23(생연동)","031-862-2716","15%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"178","처가집(부대찌개)","경기도 동두천시 어수로91-3(생연동)","031-862-6640","10%","처가집 (부대찌개)","어수로 91-3(생연동)","031-862-6640","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"179","초코파이","경기도 동두천시 큰시장로 42(생연동)","031-861-7922","10%(포장·방문)","초코파이","큰시장로 42(생연동)","031-861-7922","10% (포장, 방문 시)","True","True","False","상세정보 재확인 필요","미검토","아니오"
"180","촌가","경기도 동두천시 중앙로273번길 30, 1층(생연동)","031-857-3369","10%","촌가","중앙로 273번길 30, 1층(생연동)","031-857-3369","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"181","통큰부대찌개","경기도 동두천시 생연로39-60(지행동)","031-868-4270","10%","통큰부대찌개","생연로 39-60(지행동)","031-868-4270","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"182","특허받은 마늘콩짜장","경기도 동두천시 평화로 2351(생연동)","031-858-3110","10%","특허받은 마늘콩짜장","평화로 2351(생연동)","031-858-3110","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"183","팔각도 동두천지행점","경기도 동두천시 중앙로116, 1층(지행동)","0507-1388-8121","10%","","","","","False","False","False","주소 재확인 필요","미검토","아니오"
"184","페리카나역전점","경기도 동두천시 생연로120(생연동)","031-862-2973","10% (포장·방문)","페리카나역전점","생연로 120(생연동)","031-862-2973","10% (포장, 방문 시)","True","True","False","상세정보 재확인 필요","미검토","아니오"
"185","페리카나 터미널점","경기도 동두천시 중앙로265번길 15(생연동)","031-862-7853","10% (포장·방문)","페리카나 터미널점","중앙로265번길 15(생연동)","031-862-7853","10%","True","True","False","상세정보 재확인 필요","미검토","아니오"
"186","황주생고기","경기도 동두천시 생연로142(생연동)","031-865-2026","3%","황주생고기","생연로 142(생연동)","031-865-2026","3%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"187","롯데리아 동두천점","경기도 동두천시 중앙로270(생연동)","031-867-5057","10%","롯데리아 동두천점","중앙로 270(생연동)","031-867-5057","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"188","빨간풍차제과점","경기도 동두천시 동광로78번길 4(생연동)","031-868-3111","5%","빨간풍차제과점","동광로 78번길 4(생연동)","031-868-3111","5%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"189","뿌리깊은나무","경기도 동두천시 안흥로78, 3·4동(안흥동)","031-865-1500","10%","","","","","False","False","False","주소 재확인 필요","미검토","아니오"
"190","청년다방","경기도 동두천시 평화로2261번길 9-6(지행동)","031-866-5055","5%","청년다방","평화로2261번길 9-6(지행동)","031-866-5055","5%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"191","커피&유","경기도 동두천시 정장로17번길 20, 1층(생연동)","031-868-3212","10%","커피&유","정장로 17번길 20, 1층(생연동)","031-868-3212","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
