"업종명","업소명","시도","시군구","소재지도로명주소","소재지지번주소","위도","경도","좌표출처","좌표출처URL","좌표검증상태","할인정보","적용대상","이용조건","인증방법","업소전화번호","출처유형","출처URL","최근확인일","혜택상태","수집자","비고"
"미용·뷰티","마샹스헤어살롱","경기도","동두천시","경기도 동두천시 중앙로134-20, 202호(지행동)","","37.8930182","127.0538205","Geocoding API","https://map.naver.com/p/search/%EB%A7%88%EC%83%B9%EC%8A%A4%ED%97%A4%EC%96%B4%EC%82%B4%EB%A1%B1%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C%20134-20","확인 완료","커트 3,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","0507-1390-5021","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"미용·뷰티","박미라 헤어스토리","경기도","동두천시","경기도 동두천시 평화로2452-1(생연동)","","37.9066868","127.0583546","Geocoding API","https://map.naver.com/p/search/%EB%B0%95%EB%AF%B8%EB%9D%BC%20%ED%97%A4%EC%96%B4%EC%8A%A4%ED%86%A0%EB%A6%AC%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C%202452-1","확인 완료","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-867-5116","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"미용·뷰티","보배헤어샵","경기도","동두천시","경기도 동두천시 중앙로286번길 21-3(생연동)","","37.9072394","127.0554639","Geocoding API","https://map.naver.com/p/search/%EB%B3%B4%EB%B0%B0%ED%97%A4%EC%96%B4%EC%83%B5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C286%EB%B2%88%EA%B8%B8%2021-3%20%EB%B3%B4%EB%B0%B0%EC%A4%91%EC%95%99%EB%B9%8C%EB%9D%BC","확인 완료","커트 1,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-861-9858","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"미용·뷰티","삐삐머리방","경기도","동두천시","경기도 동두천시 평화로2530번길 35(보산동)","","37.9137556","127.0597922","Geocoding API","https://map.naver.com/p/search/%EC%82%90%EC%82%90%EB%A8%B8%EB%A6%AC%EB%B0%A9%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2530%EB%B2%88%EA%B8%B8%2035","확인 완료","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-865-6039","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"미용·뷰티","신지미헤어라인","경기도","동두천시","경기도 동두천시 광암로33번길 13-10(광암동)","","37.8960534","127.0851728","Geocoding API","https://map.naver.com/p/search/%EC%8B%A0%EC%A7%80%EB%AF%B8%ED%97%A4%EC%96%B4%EB%9D%BC%EC%9D%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EA%B4%91%EC%95%94%EB%A1%9C33%EB%B2%88%EA%B8%B8%2013-10","확인 완료","커트 1,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-867-2951","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"음식","요리하는경더기","경기도","동두천시","경기도 동두천시 중앙로134-20, 3층(지행동)","","37.8930182","127.0538205","Geocoding API","https://map.naver.com/p/search/%EC%9A%94%EB%A6%AC%ED%95%98%EB%8A%94%EA%B2%BD%EB%8D%94%EA%B8%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C%20134-20","확인 완료","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","0507-1335-5030","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"음식","으뜸코다리냉면","경기도","동두천시","경기도 동두천시 생연로170-2, 1층(생연동)","","37.9076616","127.0526978","Geocoding API","https://map.naver.com/p/search/%EC%9C%BC%EB%9C%B8%EC%BD%94%EB%8B%A4%EB%A6%AC%EB%83%89%EB%A9%B4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C%20170-2","확인 완료","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-868-0017","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"음식","장단콩터","경기도","동두천시","경기도 동두천시 생연로119-1, 1층(생연동)","","37.9033102","127.0509794","Geocoding API","https://map.naver.com/p/search/%EC%9E%A5%EB%8B%A8%EC%BD%A9%ED%84%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C%20119-1","확인 완료","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-857-7756","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"미용·뷰티","차희에스 머리사랑","경기도","동두천시","경기도 동두천시 행선로98(생연동)","","37.8968706","127.0626416","Geocoding API","https://map.naver.com/p/search/%EC%B0%A8%ED%9D%AC%EC%97%90%EC%8A%A4%20%EB%A8%B8%EB%A6%AC%EC%82%AC%EB%9E%91%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%96%89%EC%84%A0%EB%A1%9C%2098","확인 완료","커트 10,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-863-6131","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"음식","처가집(부대찌개)","경기도","동두천시","경기도 동두천시 어수로91-3(생연동)","","37.9027419","127.0527489","Geocoding API","https://map.naver.com/p/search/%EC%B2%98%EA%B0%80%EC%A7%91%28%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%29%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%96%B4%EC%88%98%EB%A1%9C%2091-3","확인 완료","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-862-6640","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"음식","통큰부대찌개","경기도","동두천시","경기도 동두천시 생연로39-60(지행동)","","37.8964189","127.0479792","Geocoding API","https://map.naver.com/p/search/%ED%86%B5%ED%81%B0%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C%2039-60","확인 완료","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-868-4270","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"음식","특허받은 마늘콩짜장","경기도","동두천시","경기도 동두천시 평화로 2351(생연동)","","37.8977819","127.05757","Geocoding API","https://map.naver.com/p/search/%ED%8A%B9%ED%97%88%EB%B0%9B%EC%9D%80%20%EB%A7%88%EB%8A%98%EC%BD%A9%EC%A7%9C%EC%9E%A5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C%202351","확인 완료","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-858-3110","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"미용·뷰티","헤어바이 미정","경기도","동두천시","경기도 동두천시 중앙로265번길 8(생연동)","","37.9053073","127.0534308","Geocoding API","https://map.naver.com/p/search/%ED%97%A4%EC%96%B4%EB%B0%94%EC%9D%B4%20%EB%AF%B8%EC%A0%95%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C265%EB%B2%88%EA%B8%B8%208","확인 완료","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-858-5936","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"음식","황주생고기","경기도","동두천시","경기도 동두천시 생연로142(생연동)","","37.9050798","127.0519517","Geocoding API","https://map.naver.com/p/search/%ED%99%A9%EC%A3%BC%EC%83%9D%EA%B3%A0%EA%B8%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C%20142","확인 완료","3%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-865-2026","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"음식","고봉막국수","경기도","양주시","경기도 양주시 장흥면 권율로 88, 상가동 1층","","37.7227921","126.9477588","Geocoding API","https://map.naver.com/p/search/%EA%B3%A0%EB%B4%89%EB%A7%89%EA%B5%AD%EC%88%98%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EC%9E%A5%ED%9D%A5%EB%A9%B4%20%EA%B6%8C%EC%9C%A8%EB%A1%9C%2088%20%EA%B7%B8%EB%A6%B0%EC%88%B2%ED%83%80%EC%9A%B4","확인 완료","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","군 장병","상시 참여업소 목록이며 세부 할인율은 업소별 문의","군인 신분 확인자료(방문 전 문의)","031-829-2988","지자체 공식 자료","https://www.yangju.go.kr/www/selectBbsNttView.do?bbsNo=13&key=202&nttNo=198019","2026-08-15","이용 가능","ilwoo-maker","기간 한정 특별할인 22개소는 제외하고 상시 참여 32개소만 수록"
"음식","김밥나라","경기도","양주시","경기도 양주시 평화로 1426","","37.8181225","127.0462927","Geocoding API","https://map.naver.com/p/search/%EA%B9%80%EB%B0%A5%EB%82%98%EB%9D%BC%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C%201426","확인 완료","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","군 장병","상시 참여업소 목록이며 세부 할인율은 업소별 문의","군인 신분 확인자료(방문 전 문의)","031-858-1558","지자체 공식 자료","https://www.yangju.go.kr/www/selectBbsNttView.do?bbsNo=13&key=202&nttNo=198019","2026-08-15","이용 가능","ilwoo-maker","기간 한정 특별할인 22개소는 제외하고 상시 참여 32개소만 수록"
"음식","덕정갈비","경기도","양주시","경기도 양주시 덕정길 58","","37.843655","127.0655121","Geocoding API","https://map.naver.com/p/search/%EB%8D%95%EC%A0%95%EA%B0%88%EB%B9%84%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EB%8D%95%EC%A0%95%EA%B8%B8%2058","확인 완료","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","군 장병","상시 참여업소 목록이며 세부 할인율은 업소별 문의","군인 신분 확인자료(방문 전 문의)","031-862-8811","지자체 공식 자료","https://www.yangju.go.kr/www/selectBbsNttView.do?bbsNo=13&key=202&nttNo=198019","2026-08-15","이용 가능","ilwoo-maker","기간 한정 특별할인 22개소는 제외하고 상시 참여 32개소만 수록"
"음식","술들다","경기도","양주시","경기도 양주시 덕정4길 11","","37.8435889","127.0636388","Geocoding API","https://map.naver.com/p/search/%EC%88%A0%EB%93%A4%EB%8B%A4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EB%8D%95%EC%A0%954%EA%B8%B8%2011","확인 완료","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","군 장병","상시 참여업소 목록이며 세부 할인율은 업소별 문의","군인 신분 확인자료(방문 전 문의)","0507-1310-8451","지자체 공식 자료","https://www.yangju.go.kr/www/selectBbsNttView.do?bbsNo=13&key=202&nttNo=198019","2026-08-15","이용 가능","ilwoo-maker","기간 한정 특별할인 22개소는 제외하고 상시 참여 32개소만 수록"
"음식","안다미로 샤브샤브","경기도","양주시","경기도 양주시 엄상동길 22-26","","37.830281","127.0672537","Geocoding API","https://map.naver.com/p/search/%EC%95%88%EB%8B%A4%EB%AF%B8%EB%A1%9C%20%EC%83%A4%EB%B8%8C%EC%83%A4%EB%B8%8C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EC%97%84%EC%83%81%EB%8F%99%EA%B8%B8%2022-26","확인 완료","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","군 장병","상시 참여업소 목록이며 세부 할인율은 업소별 문의","군인 신분 확인자료(방문 전 문의)","031-858-2233","지자체 공식 자료","https://www.yangju.go.kr/www/selectBbsNttView.do?bbsNo=13&key=202&nttNo=198019","2026-08-15","이용 가능","ilwoo-maker","기간 한정 특별할인 22개소는 제외하고 상시 참여 32개소만 수록"
"음식","여울마당","경기도","양주시","경기도 양주시 장흥면 유원지로 318","","37.7078644","126.9535471","Geocoding API","https://map.naver.com/p/search/%EC%97%AC%EC%9A%B8%EB%A7%88%EB%8B%B9%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EC%9E%A5%ED%9D%A5%EB%A9%B4%20%EC%9C%A0%EC%9B%90%EC%A7%80%EB%A1%9C%20318","확인 완료","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","군 장병","상시 참여업소 목록이며 세부 할인율은 업소별 문의","군인 신분 확인자료(방문 전 문의)","031-855-2299","지자체 공식 자료","https://www.yangju.go.kr/www/selectBbsNttView.do?bbsNo=13&key=202&nttNo=198019","2026-08-15","이용 가능","ilwoo-maker","기간 한정 특별할인 22개소는 제외하고 상시 참여 32개소만 수록"
