"rnum","업소명","주소","전화번호","혜택유형","처리상태","좌표출처","좌표검증상태","위도","경도","반환주소","검토메모"
"47","유앤아이의원 구로점","서울특별시구로구디지털로306(구로동, (대륭포스트타워 2차 213, 214호))","02-6956-6031","할인","REUSED","네이버 Geocoding API","확인 완료","37.4859232","126.8973364","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"48","오마스의원","서울특별시양천구오목로311(목동, (5층))","02-6951-1525","할인","REUSED","네이버 Geocoding API","확인 완료","37.5252971","126.8719796","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"50","시그니아독일보청기 의정부센터","경기도의정부시평화로5382      2층 (의정부동)","031-847-8083","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"51","연천청산버섯영농조합","경기도연천군청산면청신로324(청산면초성리)","031-835-1004","할인","REUSED","네이버 Geocoding API","확인 완료","37.9871849","127.0921432","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"52","블리비의원 발산점","서울특별시강서구강서로395(마곡동, (플레이스에이치 3층))","02-1833-9986","할인","REUSED","네이버 Geocoding API","확인 완료","37.5610361","126.8386108","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"56","다비치안경 보청기 망우사거리점","서울특별시중랑구망우로421(망우동)","02-433-9485","할인","REUSED","네이버 Geocoding API","확인 완료","37.5997945","127.0988924","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"58","제너리스의원 연신내점","서울특별시은평구연서로216(대조동, (1동 3층 301호 (대조동아트캐슬주상복합))))","02-6949-5703","할인","REUSED","네이버 Geocoding API","확인 완료","37.6178109","126.9201296","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"64","GTS버거 문래점","서울특별시영등포구문래로151(문래동3가)","070-7776-4216","할인","MATCHED","네이버 Geocoding API","확인 완료","37.5188006","126.8987894","서울특별시 영등포구 문래로 151","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"68","으뜸50안경 논현역점","서울특별시강남구강남대로524(논현동, (2층, 1호))","02-3442-5050","할인","REUSED","네이버 Geocoding API","확인 완료","37.5090367","127.0227869","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"70","연과점 하루","서울특별시마포구동교로16길12(서교동, (1층))","0507-1402-7706","할인","MATCHED","네이버 Geocoding API","확인 완료","37.5542805","126.9153613","서울특별시 마포구 동교로16길 12","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"72","룩스토어 용문점","서울특별시용산구효창원로105(용문동)","02-701-0220","할인","REUSED","네이버 Geocoding API","확인 완료","37.5378181","126.960344","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"81","송내팔방상회","경기도부천시 소사구송내대로42(송내동)","032-651-2644","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4873801","126.7539048","경기도 부천시 소사구 송내대로 42","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"82","59쌀피자 (송내남부점)","경기도부천시 소사구송내대로42번길58(송내동)","032-655-5955","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4870397","126.7565243","경기도 부천시 소사구 송내대로42번길 58","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"83","착한가격안경","서울특별시강동구성내로11(성내동, (102호))","02-485-7677","할인","REUSED","네이버 Geocoding API","확인 완료","37.5305106","127.1221842","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"84","서울티플란트치과","인천광역시부평구광장로4번길11(부평동, 중보빌딩)","031-992-6622","할인","REUSED","네이버 Geocoding API","확인 완료","37.4906325","126.7221924","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"87","흠당한의원","인천광역시미추홀구독배로309,4층 (용현동, 노블레스타워)","032-573-7588","할인","REUSED","네이버 Geocoding API","확인 완료","37.4477929","126.6492579","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"88","순석닭강정","인천광역시미추홀구용정공원로83번길43,105호(용현동)","0507-1400-7824","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4474982","126.6476339","인천광역시 미추홀구 용정공원로83번길 43 e편한세상 시티 인하대역","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"89","필라테스 린(용현점)","인천광역시미추홀구독배로317번길29- 0,10층 (용현동, 컬러프라자)","010-9918-9951","할인","REUSED","네이버 Geocoding API","확인 완료","37.4477848","126.6468506","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"90","필라테스 린(구월점)","인천광역시남동구구월로268,6층 (구월동, 대성빌딩)","032-472-3418","할인","REUSED","네이버 Geocoding API","확인 완료","37.4556168","126.7203139","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"93","루비의원 양재역","서울특별시강남구강남대로238(도곡동, (11층))","02-577-7203","할인","REUSED","네이버 Geocoding API","확인 완료","37.4849717","127.0347727","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"94","럭키차이나","인천광역시제물포구차이나타운로47- 1(북성동3가)","0507-1483-8894","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4750758","126.6190765","인천광역시 제물포구 차이나타운로 47-1","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"95","럭키차이나(차이나타운점)","인천광역시제물포구차이나타운로48(송월동3가)","0507-1476-8013","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4752479","126.6189693","인천광역시 제물포구 차이나타운로 48","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"98","월미도레미","인천광역시제물포구월미문화로35,2층 (북성동1가)","0507-1380-3941","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4752532","126.5978931","인천광역시 제물포구 월미문화로 35","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"99","달쭈꾸미 월미도 본점","인천광역시제물포구월미문화로39(북성동1가)","0507-1311-7403","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4748005","126.5977309","인천광역시 제물포구 월미문화로 39","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"100","미투커피","인천광역시제물포구월미문화로39(북성동1가)","0507-1328-7131","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4748005","126.5977309","인천광역시 제물포구 월미문화로 39","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"101","모두의 운동 그룹PT 동탄점","경기도화성시 동탄구동탄중심상가2길372층 (반송동)","0507-1430-3533","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"108","귀한보청기 청각언어재활센터","경기도평택시중앙로811층 (비전동)","031-647-0134","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"109","다비치안경 마석신한은행옆점","경기도남양주시화도읍마석중앙로541층 (화도읍창현리)","031-593-9485","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"112","하제네일","서울특별시은평구연서로13길3(구산동, (1층 우측점포))","0507-1394-9675","할인","REUSED","네이버 Geocoding API","확인 완료","37.6092369","126.9154239","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"113","설빙)인천월미도점","인천광역시제물포구월미문화로71(북성동1가)","0507-1315-5896","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4721485","126.5962737","인천광역시 제물포구 월미문화로 71 월미비치타운","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"114","엔제리너스(인천)점","인천광역시제물포구월미문화로71(북성동1가)","0507-1474-7655","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4721485","126.5962737","인천광역시 제물포구 월미문화로 71 월미비치타운","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"115","시엔느스킨","인천광역시미추홀구용정공원로83번길43(용현동)","","할인","REUSED","네이버 Geocoding API","확인 완료","37.4474982","126.6476339","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"119","스카이치과의원","서울특별시강남구테헤란로26길10(역삼동, (3층))","02-3452-2828","할인","REUSED","네이버 Geocoding API","확인 완료","37.4996461","127.0358567","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"124","아크로안경원","경기도안양시 동안구시민대로230326호(관양동)","031-478-9981","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"131","피그가든","서울특별시용산구한강대로270(남영동)","02-6941-1244","할인","MATCHED","네이버 Geocoding API","확인 완료","37.5423973","126.9730344","서울특별시 용산구 한강대로 270","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"132","탄토탄토","서울특별시광진구아차산로33길49(화양동, (2층))","02-2039-2915","할인","MATCHED","네이버 Geocoding API","확인 완료","37.5425095","127.0707414","서울특별시 광진구 아차산로33길 49","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"133","뉴대성병원","경기도부천시 원미구부천로91(심곡동)","1551-3380","할인","REUSED","네이버 Geocoding API","확인 완료","37.4925524","126.7841872","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"135","미미진","인천광역시제물포구차이나타운로27(북성동3가)","050713318989","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4767663","126.619329","인천광역시 제물포구 차이나타운로 27","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"136","으뜸플러스안경 인천구월점","인천광역시남동구인하로489번길28- 0(구월동, 로데오프라자21 3층)","032-439-9001","할인","REUSED","네이버 Geocoding API","확인 완료","37.4448651","126.7014961","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"137","안경진정성 도화점","인천광역시미추홀구숙골로100(도화동)","032-872-2001","할인","REUSED","네이버 Geocoding API","확인 완료","37.4710418","126.6629403","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"138","안테나 안경원","인천광역시부평구경인로947(부평동)","0507-1307-4250","할인","REUSED","네이버 Geocoding API","확인 완료","37.4878295","126.7249249","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"139","어바웃글라스 안경 서창","인천광역시남동구서창남순환로215번길17- 0(서창동, 마스타프라자 118호)","0507-1444-8102","할인","REUSED","네이버 Geocoding API","확인 완료","37.4247276","126.7475898","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"141","용현행복한안경","인천광역시미추홀구낙섬서로4(용현동, 현대메디칼센터 1층 101호)","032-886-5255","할인","REUSED","네이버 Geocoding API","확인 완료","37.4500145","126.633686","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"142","크리스탈안경원","인천광역시남동구경인로520(간석동, 탑프라자 빌딩 B08호)","0507-1445-5254","할인","REUSED","네이버 Geocoding API","확인 완료","37.460777","126.6970709","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"143","글라스월드 계양점","인천광역시계양구계양문화로96(용종동, 강북프라자 103호)","0507-1322-9462","할인","REUSED","네이버 Geocoding API","확인 완료","37.5392561","126.7372213","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"144","선인안경원","인천광역시미추홀구석정로176- 3(도화동)","032-881-0104","할인","REUSED","네이버 Geocoding API","확인 완료","37.4678514","126.6548909","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"145","베네치아 안경원","인천광역시남동구구월로305(만수동, 베네치아 안경원)","0507-1334-4569","할인","REUSED","네이버 Geocoding API","확인 완료","37.4558364","126.7247148","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"146","호안안경 인하대역","인천광역시미추홀구독배로311(용현동, 1층 111호 호안안경)","032-882-8885","할인","REUSED","네이버 Geocoding API","확인 완료","37.4481463","126.6491201","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"147","안경상회 인천구월점","인천광역시남동구구월남로286- 2(구월동, 1층 안경상회 인천구월점)","010-4828-1933","할인","REUSED","네이버 Geocoding API","확인 완료","37.4519991","126.7212977","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"148","우리들안경","인천광역시미추홀구인하로57(용현동, 1층 우리들안경)","032-874-7001","할인","REUSED","네이버 Geocoding API","확인 완료","37.4518992","126.6548401","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"149","눈사랑안경콘택트","인천광역시남동구장수로18(장수동, 장수주공아파트 앞 눈사랑안경콘택트)","032-467-0523","할인","REUSED","네이버 Geocoding API","확인 완료","37.4509261","126.7498835","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"150","이태리안경원 경인교대점","인천광역시계양구계산로89(계산동, 1층 이태리안경원 경인교대점)","032-541-2722","할인","REUSED","네이버 Geocoding API","확인 완료","37.5377711","126.7221512","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"154","준하헤어","경기도군포시대야1로8102호(대야미동)","0507-1365-7880","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"157","으뜸50안경 홍대점","서울특별시마포구홍익로9(서교동, (2층))","0507-1331-5487","할인","REUSED","네이버 Geocoding API","확인 완료","37.5533397","126.9234263","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"160","국민낙곱새(평촌점)","경기도안양시 동안구흥안대로457- 27(관양동)","031-599-2509","할인","REUSED","네이버 Geocoding API","확인 완료","37.3946502","126.9735876","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"161","국민낙곱새(안양점)","경기도안양시 만안구안양로257- 271층 (안양동)","031-466-8809","할인","MATCHED","네이버 Geocoding API","확인 완료","37.3955383","126.9238062","경기도 안양시 만안구 안양로 257","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"162","아네농음악학원","경기도안양시 동안구경수대로563(호계동)","0507+1396-7240","할인","REUSED","네이버 Geocoding API","확인 완료","37.3730188","126.9570935","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"163","K.S 안경 콘택트","서울특별시광진구천호대로561(중곡동, (1층))","02-453-5002","할인","REUSED","네이버 Geocoding API","확인 완료","37.5571308","127.0806809","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"165","다비치안경원(인하대점)","인천광역시미추홀구인하로75(용현동)","032-863-4007","할인","REUSED","네이버 Geocoding API","확인 완료","37.4513771","126.6567165","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"166","짐원컴퍼니(운정본점)","경기도파주시책향기로5737,8층 (목동동, 월드타워3)","031-946-9679","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"167","짐원컴퍼니(해오름3호점)","경기도파주시해올2길214층 (다율동, 월드타워19차)","031-941-9679","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"168","짐원컴퍼니(가람4호점)","경기도파주시미래로602번길117층 (와동동)","031-945-9679","할인","REUSED","네이버 Geocoding API","확인 완료","37.7313879","126.7538643","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"169","짐원컴퍼니(정발산6호점)","경기도고양시 일산동구정발산로31- 174층 (장항동, 맥클린21)","031-901-0811","할인","ADDRESS_MISMATCH","","재확인 필요","","","","도로명·건물번호가 원본과 일치하지 않음"
"170","안경공간","서울특별시구로구디지털로31길53(구로동, (103호))","02-864-1226","할인","REUSED","네이버 Geocoding API","확인 완료","37.4854891","126.8924235","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"171","그랑프리안경 성내점","서울특별시강동구풍성로112(성내동)","02-486-8845","할인","REUSED","네이버 Geocoding API","확인 완료","37.5320579","127.1244932","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"234","안경진정성 평택고덕에듀타운점","경기도평택시고덕로3길25114호1층 (고덕동, GS프라자)","0507-1316-6722","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"245","데코커튼과천안양점","경기도안양시 동안구관악대로373104호1층 (관양동)","0507-1318-6648","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"246","안경ZIP","경기도안양시 동안구동편로16107호(관양동)","031-422-5859","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"247","선한손지압안마원","경기도안양시 동안구관악대로349(관양동)","0507-1310-9475","할인","REUSED","네이버 Geocoding API","확인 완료","37.4042397","126.9616112","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"248","오케피아 음악학원","경기도안양시 동안구관평로138번길53301호(평촌동, 초원부영상가)","031-381-9191","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"273","평강한의원","서울특별시강남구압구정로30길23(신사동)","02-515-6978","할인","REUSED","네이버 Geocoding API","확인 완료","37.5259003","127.0295122","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"274","신갈편한한의원","경기도용인시 기흥구중부대로317(신갈동)","031-289-1075","할인","REUSED","네이버 Geocoding API","확인 완료","37.2709214","127.1022715","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"280","해인한의원","서울특별시강동구명일로1893층 (길동, 초우빌딩)","02-478-8276","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"296","독일콘택트안경원","경기도부천시 원미구중동로165- 0(중동)","032-612-7200","할인","REUSED","네이버 Geocoding API","확인 완료","37.4945913","126.7670369","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"297","앤365렌즈 더봄안경원","경기도부천시 원미구부일로747(역곡동, 1층)","032-611-1001","할인","REUSED","네이버 Geocoding API","확인 완료","37.4864153","126.8127131","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"298","렌즈미(안산선부점)","경기도안산시 단원구선부광장1로62(선부동, 106호)","031-405-0020","할인","REUSED","네이버 Geocoding API","확인 완료","37.3362965","126.8112973","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"299","오스트리치안경","경기도광명시광명역로28(일직동, 1층)","02-897-5427","할인","REUSED","네이버 Geocoding API","확인 완료","37.4173608","126.8875217","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"300","짐원휘트니스(구래2호점)","경기도김포시김포한강8로400(구래동, 홍은프라자 4층)","031-998-9679","할인","REUSED","네이버 Geocoding API","확인 완료","37.6431197","126.6242719","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"301","남대문안경(상동점)","경기도부천시 원미구상동로105(상동)","032-325-3270","할인","REUSED","네이버 Geocoding API","확인 완료","37.5066959","126.7527977","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"302","만복국수(철산점)","경기도광명시철산로30번길9(철산동, 프라자빌딩 2층)","02-2689-9998","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4756317","126.8701724","경기도 광명시 철산로30번길 9 프라자빌딩","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"303","통양갈비","경기도부천시 소사구송내대로28(송내동, 106호)","0507-1378-9283","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4859366","126.7536821","경기도 부천시 소사구 송내대로 28","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"304","솔안골먹장어(송내본점)","경기도부천시 소사구송내대로29(송내동)","070-8899-7669","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4861338","126.7527981","경기도 부천시 소사구 송내대로 29 리슈빌딩","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"317","청주이발소","경기도안양시 동안구관평로138번길53상가동동203호(평촌동, 초원부영아파트)","031-383-6995","할인","MATCHED","네이버 Geocoding API","확인 완료","37.3906369","126.965029","경기도 안양시 동안구 관평로138번길 53 초원부영아파트 상가동","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"319","나피어","경기도의왕시오리나무로171층 (내손동)","0507-1317-9867","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"321","창대철물","경기도안양시 동안구관악대로388번길19- 10(관양동)","031-424-9404","할인","REUSED","네이버 Geocoding API","확인 완료","37.4034208","126.9667556","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"324","순헤어","경기도과천시별양로28B동1069호(원문동, 슈르상가)","010-9292-1825","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4211738","126.9912596","경기도 과천시 별양로 28 래미안 슈르","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"325","금양남성헤어","경기도안양시 동안구인덕원로14- 1(관양동)","010-3899-8777","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4008879","126.9737262","경기도 안양시 동안구 인덕원로 14-1","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"369","앤더스필라테스(산곡점)","인천광역시부평구원적로434(산곡동, 4층)","032-525-3774","할인","REUSED","네이버 Geocoding API","확인 완료","37.503328","126.7146268","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"370","늑대와여우 컴퓨터","인천광역시남동구양지로6101호(간석동)","032-544-6312","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"371","모아닭강정","인천광역시남동구구월로372번길46(만수동, 1층 101호)","0507-1374-5456","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4527531","126.7316547","인천광역시 남동구 구월로372번길 46","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"372","고스트헤어(검단신도시점)","인천광역시검단구발산로41205호(원당동, 정석프라자)","0507-1371-3479","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"383","피카소안경","경기도안양시 동안구흥안대로458(평촌동)","010-4179-8621","할인","REUSED","네이버 Geocoding API","확인 완료","37.3948992","126.9761157","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"384","아트당구장","경기도군포시대야1로6번길22- 4(대야미동)","010-5285-7985","할인","REUSED","네이버 Geocoding API","확인 완료","37.3283148","126.9200763","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"385","만나떡볶이","경기도과천시별양상가2로35118호1층 (별양동)","02-3679-0118","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"386","옥천냉면","경기도안양시 동안구관악대로374번길9- 211층 (관양동)","031-422-6644","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4038438","126.9647689","경기도 안양시 동안구 관악대로374번길 9","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"391","제부도디앤와이펜션","경기도화성시 만세구서신면해안길114(서신면제부리)","031-355-2126","할인","MATCHED","네이버 Geocoding API","확인 완료","37.1662894","126.6253899","경기도 화성시 만세구 서신면 해안길 114","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"392","수진이네","경기도이천시신둔면경충대로3159번길12- 26(신둔면수광리)","0507-1311-7222","할인","MATCHED","네이버 Geocoding API","확인 완료","37.3094917","127.4005383","경기도 이천시 신둔면 경충대로3159번길 12-26","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"393","동타안","경기도화성시 동탄구동탄반송1길231층 (반송동)","031-613-2121","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"396","횃불식당","경기도가평군가평읍용추로171번길16(가평읍승안리, 횃불식당)","031-582-8933","할인","MATCHED","네이버 Geocoding API","확인 완료","37.8427601","127.4879669","경기도 가평군 가평읍 용추로171번길 16","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"397","청정여수동갈매기살","경기도성남시 분당구장미로100번길222층 (야탑동)","031-706-8832","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4134481","127.1318636","경기도 성남시 분당구 장미로 100","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"398","도원가든","경기도연천군청산면청신로308(청산면초성리)","0507-1491-7292","할인","MATCHED","네이버 Geocoding API","확인 완료","37.9893725","127.0903814","경기도 연천군 청산면 청신로 308","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"399","달려라행복이 달행이네 과일&음료","경기도고양시 덕양구토당로104번길22- 191층 (토당동)","031-994-0418","할인","AMBIGUOUS","","재확인 필요","","","","주소가 일치하는 결과가 여러 개"
"400","카페퀴너스","경기도파주시탄현면새오리로691층 (탄현면성동리, 프로방스힐)","031-947-0321","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"420","시화이마트 안경매니져","경기도시흥시정왕대로210(정왕동, 1층)","031-498-8096","할인","REUSED","네이버 Geocoding API","확인 완료","37.345931","126.7369006","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"423","아엠헤드","경기도수원시 장안구서부로2207번길18(율전동)","0507-1483-1235","할인","MATCHED","네이버 Geocoding API","확인 완료","37.3055886","126.9713895","경기도 수원시 장안구 서부로2207번길 18 인정베스트빌","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"429","세미스칼프&바디","경기도이천시애련정로49번길36(안흥동)","010-5889-0109","할인","REUSED","네이버 Geocoding API","확인 완료","37.2749588","127.4531013","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"430","뜨란헤어","경기도안양시 동안구경수대로980(비산동)","031-445-5379","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4012504","126.9292215","경기도 안양시 동안구 경수대로 980 안양임곡휴먼시아 나상가동","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"431","이엔(주)양파백세탕","경기도안양시 동안구동편로20번길16109호(관양동, 신안시티)","031-427-7888","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"432","다비치안경 안양비산점","경기도안양시 동안구관악대로183107호(비산동, 동양월드타워)","0507-1398-5060","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"436","안경클럽","서울특별시구로구고척로123(개봉동, (1층))","02-2611-4833","할인","REUSED","네이버 Geocoding API","확인 완료","37.502171","126.8476637","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"437","리피부과의원","서울특별시중랑구면목로481(상봉동, (오렌지타워 5층))","02-2207-7707","할인","REUSED","네이버 Geocoding API","확인 완료","37.5947758","127.0856536","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"438","샤인더마의원 왕십리","서울특별시성동구왕십리로331(하왕십리동, (4층))","02-6951-1870","할인","REUSED","네이버 Geocoding API","확인 완료","37.5626434","127.032817","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
