"업종명","업소명","시도","시군구","소재지도로명주소","소재지지번주소","위도","경도","좌표출처","좌표출처URL","좌표검증상태","할인정보","적용대상","이용조건","인증방법","업소전화번호","출처유형","출처URL","최근확인일","혜택상태","수집자","비고"
"음식","공항두루치기","서울특별시","강서구","서울특별시 강서구양천로28(방화동)","","37.5722167","126.8065625","","","재확인 필요","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-25~","동원훈련이수,모범예비군,명문가증,복무확인서","02-2666-2272","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"음식","김가네 개화산역점","서울특별시","강서구","서울특별시 강서구양천로28(방화동, (벽산에어트리움 C-8호)))","","37.5722167","126.8063625","","","재확인 필요","서비스 이용료의 5% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-25~","동원훈련이수,모범예비군,명문가증,복무확인서","02-2664-2335","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"음식","일품사천불짬뽕","서울특별시","강서구","서울특별시 강서구양천로28(방화동, (벽산에어트리움))","","37.5722167","126.8067625","","","재확인 필요","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-08~","동원훈련이수,모범예비군,명문가증,복무확인서","02-2662-6639","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"음식","전주콩나물 해장국&지지미 방화점","서울특별시","강서구","서울특별시 강서구양천로6길28(방화동)","","37.5705336","126.8068242","","","재확인 필요","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-23~","동원훈련이수,모범예비군,명문가증,복무확인서","02-2665-8222","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"음식","칼스토랑 방화점","서울특별시","강서구","서울특별시 강서구양천로28(방화동, (b106)))","","37.5722167","126.8064625","","","재확인 필요","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-25~","동원훈련이수,모범예비군,명문가증,복무확인서","070-8657-3869","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"음식","포아이니 개화산역점","서울특별시","강서구","서울특별시 강서구양천로28(방화동, (본관동 104호))","","37.5722167","126.8066625","","","재확인 필요","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-23~","동원훈련이수, 모범예비군, 명문가증, 복무확인서","02-2665-5599","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"카페","그로우빈스","서울특별시","강서구","서울특별시 강서구양천로18길16(방화동, (1층 101호))","","37.5727689","126.812605","","","재확인 필요","서비스 이용료의 10% 할인 **훈련을 마친 병사는 아메리카노 1잔 증정 (1인 1잔 한정)","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-08-07~","동원훈련이수,모범예비군,명문가증,복무확인서","02-2661-0922","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"카페","밀알카페","서울특별시","강서구","서울특별시 강서구강서로33길16(화곡동, (1층))","","37.5420041","126.8388133","","","재확인 필요","모든 메뉴 한 잔 당 무조건 500원 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-08-16~","동원훈련이수,모범예비군,명문가증,복무확인서","0507-1389-2518","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"미용·뷰티","굿바이브바버샵","서울특별시","광진구","서울특별시 광진구 용마산로21길 27, 1층","","37.5634676","127.0859387","Geocoding API","https://map.naver.com/p/search/%EA%B5%BF%EB%B0%94%EC%9D%B4%EB%B8%8C%EB%B0%94%EB%B2%84%EC%83%B5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EC%9A%A9%EB%A7%88%EC%82%B0%EB%A1%9C21%EA%B8%B8%2027","확인 완료","군인·경찰·소방관 할인 제공(할인액 미공개)","군인·경찰·소방관","혜택 변경 가능성이 있어 방문·예약 직전 업소 확인","군인증 또는 관련 신분 확인자료","0507-1474-1258","이용 후기","https://blog.naver.com/wedae1man/223740984350","2026-08-15","확인 필요","ilwoo-maker","2025년 할인 안내와 2026년 현재 네이버플레이스 주소·전화·영업정보를 교차확인"
"미용·뷰티","굿보이즈 바버샵","서울특별시","광진구","서울특별시 광진구 강변역로4길 56, 1층 7호 (구의동, 광진해모로리버뷰)","서울특별시 광진구 구의동 547-7","37.5333472","127.0921658","Geocoding API","https://map.naver.com/p/search/%EA%B5%BF%EB%B3%B4%EC%9D%B4%EC%A6%88%20%EB%B0%94%EB%B2%84%EC%83%B5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EA%B0%95%EB%B3%80%EC%97%AD%EB%A1%9C4%EA%B8%B8%2056%20%EA%B4%91%EC%A7%84%ED%95%B4%EB%AA%A8%EB%A1%9C%EB%A6%AC%EB%B2%84%EB%B7%B0","확인 완료","군인·경찰·소방관 상시 5,000원 할인","군인·경찰·소방관","혜택 변경 가능성이 있어 방문·예약 직전 업소 확인","군인증 또는 관련 신분 확인자료","0507-1315-9522","업체 공식 SNS|이용 후기","https://blog.naver.com/pkang00/223797115956|https://blog.naver.com/ymjh313/223771586135","2026-08-15","확인 필요","ilwoo-maker","업소 자체 글과 별도 이용 후기에서 동일한 5,000원 상시 할인 확인"
"미용·뷰티","쵸리","서울특별시","광진구","서울특별시 광진구 뚝섬로51길 57, 1층","","37.5347912","127.0813715","Geocoding API","https://map.naver.com/p/search/%EC%B5%B8%EB%A6%AC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EB%9A%9D%EC%84%AC%EB%A1%9C51%EA%B8%B8%2057","확인 완료","군인·경찰·소방관 상시 5,000원 할인(업소 게시 가격 28,000원)","군인·경찰·소방관","혜택 변경 가능성이 있어 방문·예약 직전 업소 확인","군인증 또는 관련 신분 확인자료","0507-1498-8202","업체 공식 SNS","https://blog.naver.com/takeman84/224210331746","2026-08-15","확인 필요","ilwoo-maker","업소 공식 글의 할인 문구와 현재 네이버플레이스 주소·전화·영업정보를 교차확인"
"음식","무한정수제돈까스","서울특별시","광진구","서울특별시 광진구군자로102(군자동, (1층))","","37.5521971","127.0715539","","","재확인 필요","서비스 이용료의 30% 할인","복무중인사람","없음 | 혜택기간: 2025-04-08~2027-04-08","복무확인서","02-469-3122","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","2년 (기간내 변경,해제 신청 없을 시 자동 재연장)"
"음식","탄토탄토","서울특별시","광진구","서울특별시 광진구아차산로33길49(화양동, (2층))","","37.5425095","127.0707414","","","재확인 필요","평일 점심에 한하여 서비스 이용료의 20% 할인","복무중인사람","없음 | 혜택기간: 2025-02-27~","복무확인서","02-2039-2915","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"카페","보드게임카페 레드버튼 건대점","서울특별시","광진구","서울특별시 광진구동일로22길81(화양동)","","37.5415251","127.068812","","","재확인 필요","서비스 이용료의 50% 할인 (평일만 사용가능)","복무중인사람","없음 | 혜택기간: 2025-05-28~","복무확인서","0507-1466-3804","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"카페","9로평상","서울특별시","구로구","서울특별시 구로구 서해안로 2134 (항동)","","37.4821597","126.8260772","Geocoding API","https://map.naver.com/p/search/9%EB%A1%9C%ED%8F%89%EC%83%81%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EC%84%9C%ED%95%B4%EC%95%88%EB%A1%9C%202134","확인 완료","군인 특별가: 음료 5,000원(후기에서 군공무원증 제시 후 복숭아에이드 10,000원→5,000원 적용)","군인","혜택 변경 가능성이 있어 방문·예약 직전 업소 확인","군공무원증 등 군인 신분 확인자료","0507-1402-2382","이용 후기","https://blog.naver.com/27_12_25_wedding/224346593639","2026-08-15","확인 필요","ilwoo-maker","메뉴별 적용 여부는 업소 재확인 권장"
"음식","국수집","서울특별시","동대문구","서울특별시 동대문구한천로14길63(장안동, (1층))","","37.566711","127.06627","","","재확인 필요","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군","없음 | 혜택기간: 2025-04-10~2027-04-10","동원훈련이수증,모범예비군증","02-2212-9410","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","1년 (기간내 변경,해제 신청 없을 시 자동 재연장)"
"음식","돈벼락김치삼겹살 장안동본점","서울특별시","동대문구","서울특별시 동대문구장한로26길24(장안동, (1층))","","37.5714899","127.0729639","","","재확인 필요","서비스 이용료의 10% 할인","복무중인사람, 병역명문가","없음 | 혜택기간: 2024-08-07~","복무확인서,병역명문가증","0507-1374-9597","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"카페","서울쉬퐁","서울특별시","동대문구","서울특별시 동대문구한천로63길17(이문동, (1층))","","37.6039396","127.0665311","","","재확인 필요","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-04-11~2027-04-11","동원훈련이수,모범예비군,명문가증,복무확인서","0507-1414-2539","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","1년 (기간내 변경,해제 신청 없을 시 자동 재연장)"
"음식","자연석 돌구이 생삼겹살 한우","서울특별시","동작구","서울특별시 동작구여의대방로202(대방동, 1층)","","37.5047875","126.9225467","","","재확인 필요","서비스이용료(식대) 5% 할인","당해연도 동원훈련 이수자, 모범 예비군","없음 | 혜택기간: 2023-11-20~2026-11-20","동원훈련 이수증, 모범 예비군증","0507-1382-8744","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","1년 (기간내 변경,해제 신청 없을 시 자동 재연장)"
"음식","한제소곱창전골 신대방삼거리역점","서울특별시","동작구","서울특별시 동작구여의대방로22길121- 0(신대방동, 상가동 1층 1444호, 1445호)","","37.498564","126.926095","","","재확인 필요","서비스이용료의 5%할인(주류제외)","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-02-13~","동원훈련이수증, 모범예비군증, 복무확인서 등","0507-1359-9161","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker",""
"카페","에이치플레이스","서울특별시","동작구","서울특별시 동작구여의대방로36길10(대방동, (1층))","","37.5043025","126.9231009","","","재확인 필요","서비스 이용료(음료) 20% 할인","당해연도 동원훈련 이수자, 모범예비군, 복무중인 사람(현역병, 사회복무요원, 전문​∙산업기능요원)","없음 | 혜택기간: 2023-11-10~2026-11-10","동원훈련 이수증, 모범 예비군증, 복무 확인서","0507-1307-6193","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","3년 할인기간 후 재협의 필요"
"카페","카피바라 커피랩","서울특별시","동작구","서울특별시 동작구대방동23길36(대방동, (1층))","","37.5041462","126.9233874","","","재확인 필요","서비스 이용료의 20% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-09-09~","동원훈련이수,모범예비군,명문가증,복무확인서","0503-5260-9516","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"미용·뷰티","허슬러즈바버샵 홍대","서울특별시","마포구","서울특별시 마포구 와우산로 51-6, 지하 1층","","37.5492912","126.9226741","Geocoding API","https://map.naver.com/p/search/%ED%97%88%EC%8A%AC%EB%9F%AC%EC%A6%88%EB%B0%94%EB%B2%84%EC%83%B5%20%ED%99%8D%EB%8C%80%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EC%99%80%EC%9A%B0%EC%82%B0%EB%A1%9C%2051-6","확인 완료","군인 특별가격 제공(할인액 미공개)","군인","혜택 변경 가능성이 있어 방문·예약 직전 업소 확인","군인 신분 확인자료","0507-1322-3286","이용 후기","https://blog.naver.com/dpfls3230-/224336414756","2026-08-15","확인 필요","ilwoo-maker","현재 주소·전화와 군인 특별가격 안내 확인; 정확한 가격은 방문 전 문의"
"카페","연과점 하루","서울특별시","마포구","서울특별시 마포구동교로16길12(서교동, (1층))","","37.5542805","126.9153613","","","재확인 필요","서비스 이용료의 5% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-12-21~","동원훈련이수,모범예비군,명문가증,복무확인서","0507-1402-7706","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"미용·뷰티","크레올 바버샵","서울특별시","서대문구","서울특별시 서대문구 연희로15길 35 (연희동)","","37.568987","126.9300868","Geocoding API","https://map.naver.com/p/search/%ED%81%AC%EB%A0%88%EC%98%AC%20%EB%B0%94%EB%B2%84%EC%83%B5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%97%B0%ED%9D%AC%EB%A1%9C15%EA%B8%B8%2035","확인 완료","군인·경찰·소방관 할인 제공(할인액 미공개)","군인·경찰·소방관","혜택 변경 가능성이 있어 방문·예약 직전 업소 확인","군인증 또는 관련 신분 확인자료","070-8657-0265","업체 공식 SNS","https://www.daangn.com/kr/business-post/%EA%B5%B0-%EA%B2%BD-%EC%86%8C%EB%B0%A9-%ED%95%A0%EC%9D%B8%ED%95%98%EA%B3%A0-%EC%9E%88%EC%8A%B5%EB%8B%88%EB%8B%A4-ze2fgwxxivji/","2026-08-15","확인 필요","ilwoo-maker","업소 비즈프로필의 최신 군·경·소방 할인 게시물과 주소·전화·활동 상태 확인"
"미용·뷰티","예가미용실","서울특별시","서초구","서울특별시 서초구남부순환로356길55(양재동, (1층))","","37.4825416","127.0385798","","","재확인 필요","서비스 이용료의 20% 할인 **단골고객(3년이상이용)은 입대 및 전역시 각 1회(총2회) 면제","복무중인사람","없음 | 혜택기간: 2024-09-04~","복무확인서","0507-1372-4844","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"음식","옐로치킨07&바로돈까스","서울특별시","성북구","서울특별시 성북구아리랑로19길48(정릉동, (1츧))","","37.6025432","127.0107407","","","재확인 필요","서비스 이용료의 20% 할인","복무중인사람","없음 | 혜택기간: 2025-04-08~","복무확인서","02-913-2360","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"미용·뷰티","더벙커 맨즈헤어 바버샵 목동본점","서울특별시","양천구","서울특별시 양천구 오목로 337-10, 2층 205호","","37.525195","126.8753456","Geocoding API","https://map.naver.com/p/search/%EB%8D%94%EB%B2%99%EC%BB%A4%20%EB%A7%A8%EC%A6%88%ED%97%A4%EC%96%B4%20%EB%B0%94%EB%B2%84%EC%83%B5%20%EB%AA%A9%EB%8F%99%EB%B3%B8%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%96%91%EC%B2%9C%EA%B5%AC%20%EC%98%A4%EB%AA%A9%EB%A1%9C%20337-10%20%EC%86%8C%EB%A7%9D%EB%B9%8C%EB%94%A9","확인 완료","군인·경찰·소방관 할인 커트 36,000원→29,000원","군인·경찰·소방관","혜택 변경 가능성이 있어 방문·예약 직전 업소 확인","군인증 또는 관련 신분 확인자료","0507-1381-0661","이용 후기","https://blog.naver.com/b_0201/224038059722","2026-08-15","확인 필요","ilwoo-maker","주소·전화·일반가와 할인 메뉴를 함께 확인; 적용 조건은 방문 전 문의"
"음식","GTS버거 문래점","서울특별시","영등포구","서울특별시 영등포구문래로151(문래동3가)","","37.5188006","126.8987894","","","재확인 필요","서비스 이용료의 10% 할인 *최소주문금액 : 12,000원 **다른 할인과 중복 적용 불가","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-12-12~","동원훈련이수,모범예비군,명문가증,복무확인서","070-7776-4216","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"음식","다함압구정김밥","서울특별시","영등포구","서울특별시 영등포구여의대방로197(신길동)","","37.5046367","126.9218606","","","재확인 필요","서비스 이용료의 10% 할인","당해연도 동원훈련 이수자, 모범 예비군, 복무중인 사람(현역병, 사회복무요원, 전문​∙산업기능요원)","없음 | 혜택기간: 2023-11-10~2026-11-10","동원훈련 이수증, 모범 예비군증, 복무 확인서","02-831-7185","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","1년 (기간내 변경,해제 신청 없을 시 자동 재연장)"
"음식","문경밥상","서울특별시","영등포구","서울특별시 영등포구여의대방로47라길31(신길동)","","37.5065074","126.921855","","","재확인 필요","서비스(식대)10% 할인","당해연도 동원훈련 이수자, 모범 예비군","없음 | 혜택기간: 2023-11-13~2026-11-13","동원훈련 이수증 및 모범 예비군증","02-842-9436","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","1년 (기간내 변경,해제 신청 없을 시 자동 재연장)"
"음식","미각식당","서울특별시","영등포구","서울특별시 영등포구가마산로89길3(신길동, 1층)","","37.5047875","126.9214233","","","재확인 필요","서비스 이용료의 10% 할인","당해연도 동원훈련 이수자, 모범 예비군","없음 | 혜택기간: 2023-11-10~2026-11-10","동원훈련 이수증, 모범 예비군증","02-822-5822","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","1년 (기간내 변경,해제 신청 없을 시 자동 재연장)"
"카페","마우나커피","서울특별시","영등포구","서울특별시 영등포구여의대방로43길11- 5(신길동, (1층))","","37.505796","126.9214464","","","재확인 필요","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-08-19~","동원훈련이수,모범예비군,명문가증,복무확인서","02-2135-8839","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간 : 무기한"
"카페","브레드05","서울특별시","영등포구","서울특별시 영등포구여의대방로43나길4(신길동)","","37.5066273","126.9216316","","","재확인 필요","제품 5만원 이상 구입시 사은품 제공","당해연도 동원훈련 이수자, 모범 예비군","제한없음 | 혜택기간: 2023-09-27~","동원훈련 이수증, 모범 예비군증","02-783-0043","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
